obsID	articleID	author	year	location	ecosystemName	studyType	ecosystemID	multimeas	aggregation?	Potential reasons to exclude	nh_I	nh_C	no_I	no_C	toti_I	toti_C	Units_npool	ammon_I	ammon_C	nitrif_I	nitrif_C	nminz_I	nminz_C	Units_nflux	soilN_I	soilN_C	Units_soilN	SOM_I	SOM_C	Units_SOM	soilcn_I	soilcn_C	Units_soilcn	microbialcn_I	microbialcn_C	soilmoi_I	soilmoi_C	Units_soilmoi	pH_I	pH_C	plantcov_inv	plantcov_nat	Units_plantcov	biom_inv	biom_nat	Units_biom	litterbiom_inv	litterbiom_nat	Units_litterbiom	percN_inv	percN_nat	Units_percN	cn_inv	cn_nat	Units_cn	litterpercN_inv	litterpercN_nat	Units_litterpercN	littercn_inv	littercn_nat	Units_littercn	NOTES
57	27	Lindsay and French	2005	New South Wales Australia	foredune shrublands	fs	g	site3=WB	NA	NA	1.97	1.40	1.71	0.54	3.68	1.94	mg/kg	NA	NA	NA	NA	NA	NA	NA	0.08	0.04	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.77	7.12	NA	NA	NA	NA	NA	NA	3750.00	9600.00	kg/ha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	litter biomass values were reported as an average across sites
58	28	Mack and D'Antonio	2003	HI USA	submontane woodland	fs	f	wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8600	0.9100	10.5900	1.3100	g/m2*season	0.64	0.69	%	NA	NA	NA	13.92	13.25	? Table 3	NA	NA	0.47	0.42	gH2O/gdrysoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	28	Mack and D'Antonio	2003	HI USA	submontane woodland	fs	f	dry	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.4300	-0.0500	1.0900	0.9900	g/m2*season	0.42	0.52	%	NA	NA	NA	17.36	14.29	? Table 3	NA	NA	0.19	0.11	gH2O/gdrysoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	29	Marchante et al.	2008	Portugal	coastal dune	fs	g	NA	NA	NA	2.46	1.60	1.45	1.80	3.91	3.40	ug/g	NA	NA	11.8300	0.1550	NA	NA	ug/g*day	0.12	0.06	%	NA	NA	NA	17.00	22.00	? Table 2	NA	NA	9.16	4.32	%	4.26	4.56	NA	NA	NA	NA	NA	NA	2.05	0.60	kg/m2	NA	NA	NA	NA	NA	NA	1.71	1.13	%	31.00	50.00	? Table 1	NA
61	30	Martin et al.	2009	FL USA	Pinus-Taxodium canopy and hardwood understory forest	fs	f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9000	0.6700	NA	NA	NA	NA	ug/g*day	0.64	0.78	mg/g	2.60	2.90	%	17.95	13.61	g/g	8.55	6.94	4.45	7.25	%	5.15	5.35	NA	NA	NA	4.98	3.46	kg/m2	1.80	10.59	kg/m2	NA	NA	NA	NA	NA	NA	13.55	19.15	mg/g	33.21	20.89	g/g	NA
62	31	McCarron et al.	2003	KS USA	tallgrass prairie	fs	g	NA	NA	NA	0.33	0.33	0.18	0.19	0.51	0.52	g/m2	NA	NA	NA	NA	10.7080	14.7740	mg/m2*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	32	McCulley et al.	2004	TX USA	subtropical thorn woodland	fs	f	NA	NA	NA	7.13	4.10	16.90	6.30	24.03	10.40	mg/kg	NA	NA	0.9300	0.4000	1.0000	0.5000	mg/kg*day	307.00	150.00	g/m2	NA	NA	NA	13.66	11.58	g/g	6.58	8.41	0.10	0.06	cm3/cm3	7.20	7.40	NA	NA	NA	NA	NA	NA	232.00	NA	g/m2*y	NA	NA	NA	NA	NA	NA	2.35	NA	%	19.00	NA	? Table2	NA
64	33	McGrath and Binkley	2009	TN USA	early successional oak-hickory forest	fs	f	site=KF	NA	NA	NA	NA	7.40	7.20	NA	NA	ppm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.60	3.40	%	NA	NA	NA	NA	NA	NA	NA	NA	6.00	5.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	33	McGrath and Binkley	2009	TN USA	mature oak-hickory forest	fs	f	site=HW	NA	NA	NA	NA	4.00	3.00	NA	NA	ppm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.00	5.00	%	NA	NA	NA	NA	NA	NA	NA	NA	5.30	4.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	33	McGrath and Binkley	2009	TN USA	pine plantation	fs	f	site=PP	NA	NA	NA	NA	3.60	4.00	NA	NA	ppm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.40	4.30	%	NA	NA	NA	NA	NA	NA	NA	NA	5.50	4.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	33	McGrath and Binkley	2009	TN USA	pine plantation	ge	f	greenhouse	NA	Reference is an unseeded pot	NA	NA	3.40	8.20	NA	NA	ppm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.40	5.20	%	NA	NA	NA	NA	NA	NA	NA	NA	4.90	4.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	34	Mitchell et al.	1997	Dorset England	lowland heaths	fs	g	Invader=Betula spp	NA	NA	8.63	2.19	0.68	0.56	9.31	2.75	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.77	10.66	%	NA	NA	NA	NA	NA	NA	NA	NA	4.18	3.74	44.93	100	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	34	Mitchell et al.	1997	Dorset England	lowland heaths	fs	g	Invader=Pinus sylvestris	NA	NA	6.52	2.19	0.60	0.56	7.12	2.75	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.13	10.66	%	NA	NA	NA	NA	NA	NA	NA	NA	3.59	3.74	41.5	100	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	34	Mitchell et al.	1997	Dorset England	lowland heaths	fs	g	Invader=Pteridium aquilinum	NA	NA	16.36	2.19	1.61	0.56	17.96	2.75	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.87	10.66	%	NA	NA	NA	NA	NA	NA	NA	NA	3.71	3.74	100	100	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	34	Mitchell et al.	1997	Dorset England	lowland heaths	fs	g	Invader=Rhododendron ponticum	NA	NA	4.80	2.19	0.57	0.56	5.37	2.75	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.12	10.66	%	NA	NA	NA	NA	NA	NA	NA	NA	3.76	3.74	56.99	100	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	34	Mitchell et al.	1997	Dorset England	lowland heaths	fs	g	Invader=Ulex europaeus	NA	NA	20.64	2.19	1.77	0.56	22.42	2.75	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.14	10.66	%	NA	NA	NA	NA	NA	NA	NA	NA	3.82	3.74	100	100	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	35	Otto et al.	1999	NY USA	tidal freshwater marsh	fs	w	"Invader=L, year=1995"	NA	NA	33.48	30.97	NA	NA	NA	NA	mg/kg	NA	NA	NA	NA	0.7000	1.5200	mg/kg*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.60	20.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	980.00	g/m2	NA	NA	NA	26.25	35.25	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	35	Otto et al.	1999	NY USA	tidal freshwater marsh	fs	w	"Invader=L, year=1996"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.9800	0.5300	mg/kg*day	8.60	10.90	mg/g	NA	NA	NA	NA	NA	NA	41.94	10.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	980.00	g/m2	NA	NA	NA	26.25	35.25	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	35	Otto et al.	1999	NY USA	tidal freshwater marsh	fs	w	"Invader=Typha, year=1995"	NA	NA	33.35	30.97	NA	NA	NA	NA	mg/kg	NA	NA	NA	NA	2.4800	1.5200	mg/kg*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.99	20.48	NA	NA	NA	NA	NA	NA	NA	NA	510.00	980.00	g/m2	NA	NA	NA	16.70	35.25	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	35	Otto et al.	1999	NY USA	tidal freshwater marsh	fs	w	"Invader=Typha, year=1996"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.5700	0.5300	mg/kg*day	10.70	10.90	mg/g	NA	NA	NA	NA	NA	NA	52.97	10.90	NA	NA	NA	NA	NA	NA	NA	NA	510.00	980.00	g/m2	NA	NA	NA	16.70	35.25	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	36	Peng	2011	Shanghai China	salt marsh	fs	w	NA	NA	NA	0.72	0.65	1.17	0.61	1.89	1.25	g/m2	4.3250	3.9900	10.2500	9.4250	NA	NA	mg/kg*month	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.70	0.48	kg/m2	0.89	0.49	kg/m2	1.19	1.80	%	NA	NA	NA	0.74	0.74	%	NA	NA	NA	NA
78	37	Reed et al.	2005	KS USA	tallgrass prairie	fs	g	Burned	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0591	0.0745	0.0888	0.1270	ug/g*day	0.25	0.29	%	NA	NA	NA	13.93	14.46	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	962.50	528.50	g/m2	NA	NA	NA	0.39	0.41	%	125.90	101.90	? Table 1	NA	NA	NA	NA	NA	NA	NA
79	37	Reed et al.	2005	KS USA	tallgrass prairie	fs	g	Unburned	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0338	0.1068	0.1765	0.2145	ug/g*day	0.25	0.25	%	NA	NA	NA	12.73	12.13	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	680.50	581.50	g/m2	NA	NA	NA	0.60	0.55	%	89.43	78.32	? Table 1	NA	NA	NA	NA	NA	NA	NA
80	38	Rimer and Evans	2006	UT USA	grassland	fs	g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0600	0.6400	ug/g*4months	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	39	Rodgers et al.	2008	CT and MA USA	deciduous hardwood forest	fs	f	site=AT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8900	0.8900	ug/g IER*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.74	5.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	39	Rodgers et al.	2008	CT and MA USA	deciduous hardwood forest	fs	f	site=HW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.8100	4.6200	ug/g IER*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.20	5.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	39	Rodgers et al.	2008	CT and MA USA	deciduous hardwood forest	fs	f	site=NLT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2600	5.1000	ug/g IER*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.75	5.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	39	Rodgers et al.	2008	CT and MA USA	deciduous hardwood forest	fs	f	site=RS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5300	0.5400	ug/g IER*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.37	6.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	39	Rodgers et al.	2008	CT and MA USA	pine plantation	fs	f	site=PP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0200	2.6800	ug/g IER*day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.88	5.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	40	Rossiter-Rachor et al.	2009	Northern Territory Australia	grass savanna	fs	g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1058.4125	689.2600	252.0213	411.8200	NA	NA	ng/g resin*day	57.38	67.25	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.64	13.89	g/m2	352.78	233.71	g/m2	0.45	0.36	%	NA	NA	NA	0.63	0.74	%	NA	NA	NA	NA
87	41	Rout and Chrzanowski	2009	TX USA	tallgrass prairie	fs	g	NA	NA	NA	NA	NA	3.78	1.37	NA	NA	mg/kg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.86	7.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	42	Saggar et al.	1999	South Island New Zealand	tussock grasslands	fs	g	NA	NA	NA	NA	NA	NA	NA	14.00	33.00	mg/kg	NA	NA	NA	NA	57.0000	71.0000	mg/kg*34weeks	1.54	1.39	g/kg	NA	NA	NA	13.30	11.70	? Table 1	5.10	4.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
89	43	Scharfy et al.	2009	Switzerland	"dry grasslands, wetlands, old fields"	fs	g	NA	NA	NA	2.15	2.59	3.38	3.98	5.53	6.57	mg/kg	7.5200	12.8100	19.9600	25.5800	NA	NA	ug/g IER*time?	3.48	3.34	g/kg	NA	NA	NA	18.62	19.03	? Table 3	NA	NA	NA	NA	NA	7.60	7.62	NA	NA	NA	0.98	0.56	kg/m2	NA	NA	NA	6.89	9.62	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	44	Scott et al.	2001	South Island New Zealand	tussock grasslands	fs	g	site=north	NA	NA	NA	NA	NA	NA	2.26	9.28	mg/kg	NA	NA	NA	NA	NA	NA	NA	1.87	1.72	g/kg	NA	NA	NA	11.26	11.13	? Fig 3b	NA	NA	NA	NA	NA	6.20	6.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.20	7.80	g/kg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	44	Scott et al.	2001	South Island New Zealand	tussock grasslands	fs	g	site=south	NA	NA	NA	NA	NA	NA	1.67	2.97	mg/kg	NA	NA	NA	NA	NA	NA	NA	2.96	3.30	g/kg	NA	NA	NA	12.06	12.35	? Fig 3b	NA	NA	NA	NA	NA	6.14	6.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.80	7.20	g/kg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	45	Shaben and Myers	2010	British Columbia Canada	Garry oak savanna	fs	g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.8900	36.7100	88.3300	88.7800	NA	NA	ug/10cm2*140days	8.15	7.95	mg/g	NA	NA	NA	2.00	1.81	? Table 1	NA	NA	NA	NA	NA	6.51	6.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	46	Sharma and Raghubanshi	2009	Vindhyan Forest India	dry deciduous forest	fs	f	NA	NA	NA	NA	NA	NA	NA	20.90	19.21	ug/g	3.9300	3.3400	8.7200	6.2400	12.6500	9.5900	ug/g*month	0.26	0.21	%	NA	NA	NA	10.19	10.95	g/g	NA	NA	31.60	22.60	%	6.50	6.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.20	1.60	%	18.90	29.40	? Table 1	NA
94	47	Sperry et al.	2006	UT USA	arid grassland	fs	g	Native=C3 grasses	NA	NA	6.64	4.57	3.28	1.47	9.92	6.04	ug/g	NA	NA	NA	NA	NA	NA	NA	4610.00	3660.00	kg/ha	NA	NA	NA	NA	NA	NA	NA	NA	4.35	4.16	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	47	Sperry et al.	2006	UT USA	arid grassland	fs	g	Native=C4 grasses	NA	NA	4.43	4.58	2.46	1.80	6.89	6.38	ug/g	NA	NA	NA	NA	NA	NA	NA	4540.00	3820.00	kg/ha	NA	NA	NA	NA	NA	NA	NA	NA	3.79	3.89	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	48	Stock et al. 	1995	Cape Province South Africa	coastal strandveld	fs	g	site=strandveld	NA	NA	2.57	2.11	12.81	6.74	15.38	8.85	ug/g	NA	NA	NA	NA	12.7700	6.5600	ug/g*year	788.00	289.00	ug/g	2.29	1.07	%	16.20	20.60	? Table 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	48	Stock et al. 	1995	Cape Province South Africa	sandplain lowland fynbos	fs	g	site=fynbos	NA	NA	1.97	1.73	2.47	2.00	4.44	3.73	ug/g	NA	NA	NA	NA	2.3400	3.4700	ug/g*year	538.00	146.00	ug/g	2.47	0.92	%	25.60	35.20	? Table 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
98	49	Svejcar and Sheley	2001	WA USA	grassland	fs	g	site3	NA	NA	3.50	1.29	1.29	0.36	4.79	1.65	mg/kg	-0.0100	-0.0080	-0.0040	-0.0060	-0.0020	-0.0040	mg/kg*day	0.79	0.76	%	NA	NA	NA	45.65	47.13	? Table 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.10	37.95	g/m2	27.35	13.20	g/m2	0.62	0.73	%	84.45	61.40	? Table 2	0.67	0.90	%	50.70	45.60	? Table 2	NA
99	49	Svejcar and Sheley	2001	WA USA	grassland	fs	g	site2	NA	NA	1.34	1.41	0.50	0.36	1.84	1.77	mg/kg	-0.0020	-0.0020	0.0060	0.0080	0.0060	0.0060	mg/kg*day	0.77	0.91	%	NA	NA	NA	47.00	37.15	? Table 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.00	63.20	g/m2	40.10	30.50	g/m2	0.49	0.72	%	94.95	64.55	? Table 2	0.62	0.66	%	49.55	31.85	? Table 2	NA
100	49	Svejcar and Sheley	2001	WA USA	grassland	fs	g	site1	NA	NA	1.39	1.32	0.49	0.33	1.88	1.65	mg/kg	0.0040	0.0001	0.0040	0.0060	0.0060	0.0060	mg/kg*day	0.90	0.71	%	NA	NA	NA	38.75	41.63	? Table 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.10	28.00	g/m2	27.35	13.20	g/m2	0.78	0.62	%	60.85	81.40	? Table 2	1.09	0.70	%	32.10	35.55	? Table 2	NA
101	50	Templer et al.	1998	NY USA	freshwater marsh	fs	w	Native=Phragmites	NA	NA	3.74	5.44	NA	NA	NA	NA	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.90	20.20	%	NA	NA	NA	NA	NA	69.09	64.76	vol/wetsoil mass (%)	NA	NA	NA	NA	NA	633.00	980.00	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
102	50	Templer et al.	1998	NY USA	freshwater marsh	fs	w	Native=Typha	NA	NA	3.74	2.45	NA	NA	NA	NA	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.61	20.20	%	NA	NA	NA	NA	NA	69.09	65.79	vol/wetsoil mass (%)	NA	NA	NA	NA	NA	633.00	510.00	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
103	51	Tuchman et al.	2009	MI USA	coastal wetland	fs	w	NA	NA	NA	3.39	1.72	NA	NA	NA	NA	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.21	4.19	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
104	52	Vinton and Burke	1995	CPER CO	shortgrass steppe	fs	g	Native=Agropoyron smithii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1324	0.0925	g/m2*sec	77.00	75.00	g/m2	NA	NA	NA	10.56	10.73	g/g	9.90	43.50	NA	NA	NA	NA	NA	NA	NA	NA	322.79	127.81	g/m2	NA	NA	NA	NA	NA	NA	21.10	27.60	? Fig 3	NA	NA	NA	NA	NA	NA	NA
105	52	Vinton and Burke	1995	CPER CO	shortgrass steppe	fs	g	Native=Stipa comata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1324	0.1065	g/m2*sec	77.00	73.00	g/m2	NA	NA	NA	10.56	10.42	g/g	9.90	29.67	NA	NA	NA	NA	NA	NA	NA	NA	322.79	154.76	g/m2	NA	NA	NA	NA	NA	NA	21.10	31.39	? Fig 3	NA	NA	NA	NA	NA	NA	NA
106	52	Vinton and Burke	1995	CPER CO	shortgrass steppe	fs	g	Native=Bouteloua gracilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1324	0.0802	g/m2*sec	77.00	67.00	g/m2	NA	NA	NA	10.56	10.99	g/g	9.90	27.42	NA	NA	NA	NA	NA	NA	NA	NA	322.79	51.58	g/m2	NA	NA	NA	NA	NA	NA	21.10	28.12	? Fig 3	NA	NA	NA	NA	NA	NA	NA
107	52	Vinton and Burke	1995	CPER CO	shortgrass steppe	fs	g	Native=Aristida longiseta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1324	0.1082	g/m2*sec	77.00	63.00	g/m2	NA	NA	NA	10.56	11.57	g/g	9.90	13.71	NA	NA	NA	NA	NA	NA	NA	NA	322.79	95.48	g/m2	NA	NA	NA	NA	NA	NA	21.10	35.87	? Fig 3	NA	NA	NA	NA	NA	NA	NA
108	52	Vinton and Burke	1995	CPER CO	shortgrass steppe	fs	g	Native=Artemisia frigida	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1324	0.1052	g/m2*sec	77.00	81.00	g/m2	NA	NA	NA	10.56	10.84	g/g	9.90	33.00	NA	NA	NA	NA	NA	NA	NA	NA	322.79	138.29	g/m2	NA	NA	NA	NA	NA	NA	21.10	21.56	? Fig 3	NA	NA	NA	NA	NA	NA	NA
109	52	Vinton and Burke	1995	CPER CO	shortgrass steppe	fs	g	Native=Carex eleocharis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1324	0.0897	g/m2*sec	77.00	74.00	g/m2	NA	NA	NA	10.56	11.04	g/g	9.90	12.73	NA	NA	NA	NA	NA	NA	NA	NA	322.79	144.31	g/m2	NA	NA	NA	NA	NA	NA	21.10	21.90	? Fig 3	NA	NA	NA	NA	NA	NA	NA
110	53	Vitousek and Walker	1989	HI USA	early successional montane rainforest	fs	f	site=DT	NA	NA	12.60	1.90	2.80	0.20	15.40	2.10	ug/g	NA	NA	4.2000	0.4000	17.6000	2.8000	ug/g*14days	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
111	53	Vitousek and Walker	1989	HI USA	montane rainforest	fs	f	site=UB	NA	NA	2.90	2.20	0.00	0.00	2.90	2.20	ug/g	NA	NA	0.0001	0.0001	0.7000	-1.9000	ug/g*14days	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
112	53	Vitousek and Walker	1989	HI USA	montane rainforest	fs	f	site=LB	NA	NA	2.40	0.60	0.00	0.00	2.40	0.60	ug/g	NA	NA	0.0001	0.0001	2.6000	-0.3000	ug/g*14days	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	54	Windham and Ehrenfeld	2003	HI USA	brackish tidal marsh	fs	w	NA	NA	NA	1.77	1.38	0.01	0.00	1.77	1.38	mg/kg	0.0500	0.0100	0.0001	0.0001	0.0700	0.0100	mg/kg*day	1.67	1.89	%	79.12	83.65	%	NA	NA	NA	NA	NA	75.92	80.80	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01	1.62	%	NA	NA	NA	1.12	1.87	%	NA	NA	NA	NA
114	55	Witkowski	1991	Cape Province South Africa	strandveld	fs	g	site=strandveld	NA	NA	1.40	1.60	2.50	2.80	3.90	4.40	ug/g	NA	NA	NA	NA	NA	NA	NA	1091.00	803.00	ug/g	3.30	3.20	%	NA	NA	NA	NA	NA	NA	NA	NA	7.70	7.60	NA	NA	NA	NA	NA	NA	492.00	342.00	g/m2	NA	NA	NA	NA	NA	NA	1.05	0.51	%	NA	NA	NA	NA
115	55	Witkowski	1991	Cape Province South Africa	fynbos	fs	g	site=fynbos	NA	NA	2.10	1.00	3.20	3.00	5.30	4.00	ug/g	NA	NA	NA	NA	NA	NA	NA	386.00	210.00	ug/g	2.30	1.10	%	NA	NA	NA	NA	NA	NA	NA	NA	5.40	5.20	NA	NA	NA	NA	NA	NA	435.00	379.00	g/m2	NA	NA	NA	NA	NA	NA	1.11	0.45	%	NA	NA	NA	NA
