"obsNsubID"	"obsID"	"GenusSpecies"	"Genus"	"Species"	"status"	"subObsID"	"sppdens_inv"	"sppdens_nat"	"spperc_inv"	"spperc_nat"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"136"	138	32	"Hammamelis virginiana"	"Hammamelis"	"virginiana"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	139	32	"Fraxinus spp"	"Fraxinus"	"spp"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	140	33	"Prosopis glandulosa"	"Prosopis"	"glandulosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	141	33	"\"subtropical thorn woodland\" (Blair 1950, McMahan et al. 1984, McLendon 1991, Archer 1995)"	"subtropical thorn woodland"	NA	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	142	34	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"141"	143	34	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	144	34	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"143"	145	34	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"144"	146	34	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	147	35	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"146"	148	35	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"147"	149	35	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"148"	150	35	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"149"	151	35	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"150"	152	36	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"151"	153	36	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"152"	154	36	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"153"	155	36	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"154"	156	36	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"155"	157	37	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"156"	158	37	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	159	37	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"158"	160	37	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"159"	161	37	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	162	38	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"161"	163	38	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"162"	164	38	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"163"	165	38	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"164"	166	38	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"165"	167	39	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"166"	168	39	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"167"	169	39	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"168"	170	39	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"169"	171	39	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"170"	172	40	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"171"	173	40	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	174	40	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"173"	175	40	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"174"	176	40	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	177	41	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"176"	178	41	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	179	41	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"178"	180	41	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"179"	181	41	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	182	42	"Centaurea maculosa"	"Centaurea"	"maculosa"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA
"181"	183	42	"Stipa comata"	"Stipa"	"comata"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"182"	184	42	"Pseudoroegneria spicata"	"Pseudoroegneria"	"spicata"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA
"183"	185	42	"Pascopyron smithii"	"Pascopyron"	"smithii"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA
"184"	186	42	"Festuca idahoensis"	"Festuca"	"idahoensis"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"185"	187	43	"Bromus diandrus"	"Bromus"	"diandrus"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"186"	188	43	"Sporobolus airoides"	"Sporobolus"	"airoides"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	189	44	"Hordeum marinum"	"Hordeum"	"marinum"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"188"	190	44	"Sporobolus airoides"	"Sporobolus"	"airoides"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	191	45	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"190"	192	45	"Vaccinium stamineum"	"Vaccinium"	"stamineum"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	193	45	"Vaccinium pallidum"	"Vaccinium"	"pallidum"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"192"	194	45	"Vaccinium angustifolium"	"Vaccinium"	"angustifolium"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	195	45	"Quercus spp"	"Quercus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"194"	196	45	"Gaylussacia baccata"	"Gaylussacia"	"baccata"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"195"	197	45	"Carya spp"	"Carya"	"spp"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	198	45	"Betula lenta"	"Betula"	"lenta"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"197"	199	46	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	200	46	"Vaccinium stamineum"	"Vaccinium"	"stamineum"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"199"	201	46	"Vaccinium pallidum"	"Vaccinium"	"pallidum"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"200"	202	46	"Vaccinium angustifolium"	"Vaccinium"	"angustifolium"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	203	46	"Quercus spp"	"Quercus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"202"	204	46	"Gaylussacia baccata"	"Gaylussacia"	"baccata"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	205	46	"Carya spp"	"Carya"	"spp"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	206	46	"Betula lenta"	"Betula"	"lenta"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	207	47	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"206"	208	47	"Vaccinium stamineum"	"Vaccinium"	"stamineum"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	209	47	"Vaccinium pallidum"	"Vaccinium"	"pallidum"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	210	47	"Vaccinium angustifolium"	"Vaccinium"	"angustifolium"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	211	47	"Quercus spp"	"Quercus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	212	47	"Gaylussacia baccata"	"Gaylussacia"	"baccata"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	213	47	"Carya spp"	"Carya"	"spp"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"212"	214	47	"Betula lenta"	"Betula"	"lenta"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	215	48	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"214"	216	48	"Vaccinium stamineum"	"Vaccinium"	"stamineum"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"215"	217	48	"Vaccinium pallidum"	"Vaccinium"	"pallidum"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	218	48	"Vaccinium angustifolium"	"Vaccinium"	"angustifolium"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"217"	219	48	"Quercus spp"	"Quercus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	220	48	"Gaylussacia baccata"	"Gaylussacia"	"baccata"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"219"	221	48	"Carya spp"	"Carya"	"spp"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	222	48	"Betula lenta"	"Betula"	"lenta"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	223	49	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	224	49	"Vaccinium stamineum"	"Vaccinium"	"stamineum"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	225	49	"Vaccinium pallidum"	"Vaccinium"	"pallidum"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"224"	226	49	"Vaccinium angustifolium"	"Vaccinium"	"angustifolium"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	227	49	"Quercus spp"	"Quercus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"226"	228	49	"Gaylussacia baccata"	"Gaylussacia"	"baccata"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	229	49	"Carya spp"	"Carya"	"spp"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"228"	230	49	"Betula lenta"	"Betula"	"lenta"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	231	50	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"230"	232	50	"Vaccinium stamineum"	"Vaccinium"	"stamineum"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"231"	233	50	"Vaccinium pallidum"	"Vaccinium"	"pallidum"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"232"	234	50	"Vaccinium angustifolium"	"Vaccinium"	"angustifolium"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	235	50	"Quercus spp"	"Quercus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"234"	236	50	"Gaylussacia baccata"	"Gaylussacia"	"baccata"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	237	50	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"236"	238	50	"Betula lenta"	"Betula"	"lenta"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	239	50	"Acer spp"	"Acer"	"spp"	"N"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	240	51	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	241	51	"Vaccinium stamineum"	"Vaccinium"	"stamineum"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	242	51	"Vaccinium pallidum"	"Vaccinium"	"pallidum"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	243	51	"Vaccinium angustifolium"	"Vaccinium"	"angustifolium"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"242"	244	51	"Quercus spp"	"Quercus"	"spp"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	245	51	"Gaylussacia baccata"	"Gaylussacia"	"baccata"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"244"	246	51	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"245"	247	51	"Betula lenta"	"Betula"	"lenta"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"246"	248	51	"Acer spp"	"Acer"	"spp"	"N"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"247"	249	52	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"248"	250	52	"Quercus spp"	"Quercus"	"spp"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"249"	251	52	"Platanus occidentalis"	"Platanus"	"occidentalis"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"250"	252	52	"Liriodendron tulipifera"	"Liriodendron"	"tulipifera"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"251"	253	52	"Liquidambar styraciflua"	"Liquidambar"	"styraciflua"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"252"	254	52	"Lindera benzoin"	"Lindera"	"benzoin"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"253"	255	52	"Juglans nigra"	"Juglans"	"nigra"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	256	52	"Fraxinus pennsylvanica"	"Fraxinus"	"pennsylvanica"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"255"	257	52	"Carya laciniosa"	"Carya"	"laciniosa"	"N"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"256"	258	52	"Acer rubrum"	"Acer"	"rubrum"	"N"	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	259	53	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"258"	260	53	"Quercus spp"	"Quercus"	"spp"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"259"	261	53	"Platanus occidentalis"	"Platanus"	"occidentalis"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	262	53	"Liriodendron tulipifera"	"Liriodendron"	"tulipifera"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"261"	263	53	"Acer negundo"	"Acer"	"negundo"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"262"	264	54	"Mikania micrantha"	"Mikania"	"micrantha"	"I"	1	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"263"	265	54	"Uvaria microcarpa"	"Uvaria"	"microcarpa"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"264"	266	54	"Uvaria grandiflora"	"Uvaria"	"grandiflora"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"265"	267	54	"Rhapis excelsa"	"Rhapis"	"excelsa"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"266"	268	54	"Pterospermum hterophyllum"	"Pterospermum"	"hterophyllum"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"267"	269	54	"Psychotria rubra"	"Psychotria"	"rubra"	"N"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"268"	270	54	"Phoenix roebelenii"	"Phoenix"	"roebelenii"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"269"	271	54	"Litsea glutinosa"	"Litsea"	"glutinosa"	"N"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"270"	272	54	"Gardenia jasminoides"	"Gardenia"	"jasminoides"	"N"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"271"	273	54	"Artocarpus hypargyreus"	"Artocarpus"	"hypargyreus"	"N"	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
