done	paperID	source	reject	rejectRationale	traitDataOnly	inPapers	author1	author2	author3	year	title	journal	doi
	142	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Zink	 Allen	 HeindlTenhunen	1995	The effect of a disturbance corridor on an ecological reserve	RESTORATION ECOLOGY	10.1111/j.1526-100X.1995.tb00098.x
	143	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Rao	 Allen		2010	Combined effects of precipitation and nitrogen deposition on native and invasive winter annual production in California deserts	OECOLOGIA	10.1007/s00442-009-1516-5
	144	search1_111714	No			Yes	Cheng	 Luo	 Chen	2006	Short-term C-4 plant Spartina alterniflora invasions change the soil carbon in C-3 plant-dominated tidal wetlands on a growing estuarine Island	SOIL BIOLOGY & BIOCHEMISTRY	10.1016/j.soilbio.2006.05.016
	145	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Abraham	 Corbin	 D'Antonio	2009	"California native and exotic perennial grasses differ in their response to soil nitrogen, exotic annual grass density, and order of emergence"	PLANT ECOLOGY	10.1007/s11258-008-9467-1
	146	search1_111714	Yes	Already picked up by Liao			Thomsen	 Corbin	 D'Antonio	2006	The effect of soil nitrogen on competition between native and exotic perennial grasses from northern coastal California	PLANT ECOLOGY	10.1007/s11258-006-9109-4
	147	search1_111714	Yes	Already picked up by Liao			Heneghan	 Fatemi	 Umek	2006	"The invasive shrub European buckthorn (Rhamnus cathartica, L.) alters soil properties in Midwestern US woodlands"	APPLIED SOIL ECOLOGY	10.1016/j.apsoil.2005.03.009
	148	search1_111714	No			Yes	HilleRisLambers	 Yelenik	 Colman	2010	California annual grass invaders: the drivers or passengers of change?	JOURNAL OF ECOLOGY	10.1111/j.1365-2745.2010.01706.x
	149	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Stevens	 Thompson	 Grime	2010	Contribution of acidification and eutrophication to declines in species richness of calcifuge grasslands along a gradient of atmospheric nitrogen deposition	FUNCTIONAL ECOLOGY	10.1111/j.1365-2435.2009.01663.x
	150	search1_111714	No			Yes	Laungani	 Knops		2009	Species-driven changes in nitrogen cycling can provide a mechanism for plant invasions	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	10.1073/pnas.0900921106
	151	search1_111714	No			Yes	Tierney	 Cushman		2006	Temporal changes in native and exotic vegetation and soil characteristics following disturbances by feral pigs in a California grassland	BIOLOGICAL INVASIONS	10.1007/s10530-005-6829-7
	152	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Floyd	 Hanna	 Romme	2006	"Predicting and mitigating weed invasions to restore natural post-fire succession in Mesa Verde National Park, Colorado, USA"	INTERNATIONAL JOURNAL OF WILDLAND FIRE	10.1071/WF05066
	153	search1_111714	Yes	Already picked up by Liao			Bellingham	 Peltzer	 Walker	2005	Contrasting impacts of a native and an invasive exotic shrub on flood-plain succession	JOURNAL OF VEGETATION SCIENCE	
	154	search1_111714	Yes	Cannot obtain pdf			Knops	 Ritchie	 Tilman	2000	Selective herbivory on a nitrogen fixing legume (Lathyrus venosus) influences productivity and ecosystem nitrogen pools in an oak savanna	ECOSCIENCE	
	155	search1_111714	No			Yes	Liao	 Luo	 Fang	2008	"Litter pool sizes, decomposition, and nitrogen dynamics in Spartina alterniflora-invaded and native coastal marshlands of the Yangtze Estuary"	OECOLOGIA	10.1007/s00442-008-1007-0
y	156	search1_111714	No			Yes                                                       	Aguilera	 Alpert	 Dukes	2010	Impacts of the invasive plant Fallopia japonica (Houtt.) on plant communities and ecosystem processes	BIOLOGICAL INVASIONS	10.1007/s10530-009-9543-z
y	157	search1_111714	No			Yes	Tuchman	 Larkin	 Geddes	2009	PATTERNS OF ENVIRONMENTAL CHANGE ASSOCIATED WITH TYPHA X GLAUCA INVASION IN A GREAT LAKES COASTAL WETLAND	WETLANDS	
	158	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Conser	 Connor		2009	"Assessing the residual effects of Carpobrotus edulis invasion, implications for restoration"	BIOLOGICAL INVASIONS	10.1007/s10530-008-9252-z
	159	search1_111714	No			Yes	Hooker	 Stark	 Norton	2008	"Distribution of ecosystem C and N within contrasting vegetation types in a semiarid rangeland in the Great Basin, USA"	BIOGEOCHEMISTRY	10.1007/s10533-008-9254-z
	160	search1_111714	Yes	Already picked up by Liao			Lindsay	 French		2005	Litterfall and nitrogen cycling following invasion by Chrysanthemoides monilifera ssp rotundata in coastal Australia	JOURNAL OF APPLIED ECOLOGY	10.1111/j.1365-2664.2005.01036.x
	161	search1_111714	No			Yes	Malcolm	 Bush	 Rice	2008	Soil nitrogen conditions approach preinvasion levels following restoration of nitrogen-fixing black locust (Robinia pseudoacacia) stands in a pine-oak ecosystem	RESTORATION ECOLOGY	10.1111/j.1526-100X.2007.00263.x
	162	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Seastedt	 Suding		2007	Biotic constraints on the invasion of diffuse knapweed (Centaurea diffusa) in North American grasslands	OECOLOGIA	10.1007/s00442-006-0620-z
	163	search1_111714	Yes	Already picked up by Liao			Rimer	 Evans		2006	Invasion of downy brome (Bromus tectorum L.) causes rapid changes in the nitrogen cycle	AMERICAN MIDLAND NATURALIST	10.1674/0003-0031(2006)156[252:IODBBT]2.0.CO;2
y	164	search1_111714	No			Yes	Haubensak	 Parker		2004	Soil changes accompanying invasion of the exotic shrub Cytisus scoparius in glacial outwash prairies of western Washington [USA]	PLANT ECOLOGY	
	165	search1_111714	Yes	Already picked up by Liao			Hoopes	 Hall		2002	Edaphic factors and competition affect pattern formation and invasion in a California grassland	ECOLOGICAL APPLICATIONS	10.2307/3061134
	166	search1_111714	Yes	Already picked up by Liao			Svejcar	 Sheley		2001	Nitrogen dynamics in perennial- and annual-dominated arid rangeland	JOURNAL OF ARID ENVIRONMENTS	10.1006/jare.2000.0703
y	167	search1_111714	No			Yes	Castro-Diez	 Gonzalez-Munoz	 Alonso	2009	Effects of exotic invasive trees on nitrogen cycling: a case study in Central Spain	BIOLOGICAL INVASIONS	10.1007/s10530-008-9374-3
	168	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Otfinowski	 Kenkel		2008	Clonal integration facilitates the proliferation of smooth brome clones invading northern fescue prairies	PLANT ECOLOGY	10.1007/s11258-008-9428-8
	169	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Kolb	 Alpert		2003	Effects of nitrogen and salinity on growth and competition between a native grass and an invasive congener	BIOLOGICAL INVASIONS	10.1023/A:1026185503777
	170	search1_111714	No			Yes	Wolkovich	 Bolger	 Cottingham	2009	Invasive grass litter facilitates native shrubs through abiotic effects	JOURNAL OF VEGETATION SCIENCE	
	171	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Blumenthal			2009	Carbon addition interacts with water availability to reduce invasive forb establishment in a semi-arid grassland	BIOLOGICAL INVASIONS	10.1007/s10530-008-9332-0
	172	search1_111714	"Yes, but has traits"		Yes	Yes	James			2008	Effect of soil nitrogen stress on the relative growth rate of annual and perennial grasses in the Intermountain West	PLANT AND SOIL	10.1007/s11104-008-9645-x
	173	search1_111714	Yes	Review		Yes	Vasquez	 Sheley	 Svejcar	2008	Creating Invasion Resistant Soils via Nitrogen Management	INVASIVE PLANT SCIENCE AND MANAGEMENT	10.1614/IPSM-07-059.1
	174	search1_111714	Yes	Soil nitrogen is strictly an independent variable		Yes	Sanders	 Weltzin	 Crutsinger	2007	Insects mediate the effects of propagule supply and resource availability on a plant invasion	ECOLOGY	10.1890/06-1449.1
	175	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Davies	 Pokorny	 Sheley	2007	Influence of plant functional group removal on inorganic soil nitrogen concentrations in native grasslands	RANGELAND ECOLOGY & MANAGEMENT	10.2111/1551-5028(2007)60[304:IOPFGR]2.0.CO;2
	176	search1_111714	No			Yes	LeJeune	 Suding	 Seastedt	2006	Nutrient availability does not explain invasion and dominance of a mixed grass prairie by the exotic forb Centaurea diffusa Lam.	APPLIED SOIL ECOLOGY	10.1016/j.apsoil.2005.01.009
	177	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Schwinning	 Starr	 Wojcik	2005	Effects of nitrogen deposition on an arid grassland in the Colorado plateau cold desert	RANGELAND ECOLOGY & MANAGEMENT	10.2111/03-126.1
	178	search1_111714	"Yes, but has traits"		Yes	Yes	Blicker	 Olson	 Engel	2002	Traits of the invasive Centaurea maculosa and two native grasses: effect of N supply	PLANT AND SOIL	10.1023/A:1021596627967
	179	search1_111714	Yes	Soil nitrogen is strictly an independent variable		Yes	James	 Drenovsky	 Monaco	2011	Managing soil nitrogen to restore annual grass-infested plant communities: effective strategy or incomplete framework?	ECOLOGICAL APPLICATIONS	10.1890/10-0280.1
	180	search1_111714	Yes	Not on invasive plants			Costello	 Lamberti		2009	Biological and physical effects of non-native earthworms on nitrogen cycling in riparian soils	SOIL BIOLOGY & BIOCHEMISTRY	10.1016/j.soilbio.2009.08.007
	181	search1_111714	No			Yes	Chen	 Peng	 Ni	2009	Effects of the invasive plant Mikania micrantha HBK on soil nitrogen availability through allelopathy in South China	BIOLOGICAL INVASIONS	10.1007/s10530-008-9336-9
	182	search1_111714	Yes	Already picked up by Liao			Funk			2005	"Hedychium gardnerianum invasion into Hawaiian montane rainforest: interactions among litter quality, decomposition rate, and soil nitrogen availability"	BIOGEOCHEMISTRY	10.1007/s10533-005-7657-7
	183	search1_111714	No			Yes	Xu	 Ye	 Cao	2004	The role of diversity and functional traits of species in community invasibility	BOTANICAL BULLETIN OF ACADEMIA SINICA	
	184	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Siemann	 Rogers		2007	The role of soil resources in an exotic tree invasion in Texas coastal prairie	JOURNAL OF ECOLOGY	10.1111/j.1365-2745.2007.01253.x
	185	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Knochel	 Seastedt		2010	Reconciling contradictory findings of herbivore impacts on spotted knapweed (Centaurea stoebe) growth and reproduction	ECOLOGICAL APPLICATIONS	10.1890/09-1944.1
	186	search1_111714	No			Yes	Rao	 Parker	 Bytnerowicz	2009	Nitrogen mineralization across an atmospheric nitrogen deposition gradient in Southern California deserts	JOURNAL OF ARID ENVIRONMENTS	10.1016/j.jaridenv.2009.04.007
	187	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Adair	 Burke	 Lauenroth	2008	Contrasting effects of resource availability and plant mortality on plant community invasion by Bromus tectorum L.	PLANT AND SOIL	10.1007/s11104-007-9525-9
y	188	search1_111714	No			Yes	Sharma	 Raghubanshi		2009	Lantana invasion alters soil nitrogen pools and processes in the tropical dry deciduous forest of India	APPLIED SOIL ECOLOGY	10.1016/j.apsoil.2009.03.002
	189	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Monaco	 Johnson	 Creech	2005	"Morphological and physiological responses of the invasive weed Isatis tinctoria to contrasting light, soil-nitrogen and water"	WEED RESEARCH	10.1111/j.1365-3180.2005.00480.x
	190	search1_111714	Yes	Review			D'Antonio	 Corbin		2003	Effects of plant invaders on nutrient cycling: Using models to explore the link between invasion and development of species effects	MODELS IN ECOSYSTEM SCIENCE	
	191	search1_111714	No			Yes	Elgersma	 Ehrenfeld	 Yu	2011	"Legacy effects overwhelm the short-term effects of exotic plant invasion and restoration on soil microbial community structure, enzyme activities, and nitrogen cycling"	OECOLOGIA	10.1007/s00442-011-2022-0
	192	search1_111714	No			Yes	Lindsay	 Colloff	 Gibb	2010	The Abundance of Microbial Functional Genes in Grassy Woodlands Is Influenced More by Soil Nutrient Enrichment than by Recent Weed Invasion or Livestock Exclusion	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	10.1128/AEM.03054-09
	193	search1_111714	No			Yes	Shah	 Harner	 Tibbets	2010	Elaeagnus angustifolia Elevates Soil Inorganic Nitrogen Pools in Riparian Ecosystems	ECOSYSTEMS	10.1007/s10021-009-9299-4
	194	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Matthews	 Peralta	 Soni	2009	Local and landscape correlates of non-native species invasion in restored wetlands	ECOGRAPHY	10.1111/j.1600-0587.2009.05863.x
	195	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			MacKown	 Jones	 Johnson	2009	Nitrogen Uptake by Perennial and Invasive Annual Grass Seedlings: Nitrogen Form Effects	SOIL SCIENCE SOCIETY OF AMERICA JOURNAL	10.2136/sssaj2008.0334
	196	search1_111714	No			Yes	Symstad			2004	Secondary invasion following the reduction of Coronilla varia (Crownvetch) in sand prairie	AMERICAN MIDLAND NATURALIST	10.1674/0003-0031(2004)152[0183:SIFTRO]2.0.CO;2
	197	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Bissett	 Brown	 Siciliano	2013	Microbial community responses to anthropogenically induced environmental change: towards a systems approach	ECOLOGY LETTERS	10.1111/ele.12109
	198	search1_111714	No			Yes	Springsteen	 Loya	 Liebig	2010	Soil carbon and nitrogen across a chronosequence of woody plant expansion in North Dakota	PLANT AND SOIL	10.1007/s11104-009-0117-8
y	199	search1_111714	No			Yes	Shaben	 Myers		2010	"Relationships between Scotch broom (Cytisus scoparius), soil nutrients, and plant diversity in the Garry oak savannah ecosystem"	PLANT ECOLOGY	10.1007/s11258-009-9655-7
	200	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Van Hezewijk	 De Clerck-Floate	 Moyer	2008	Effect of nitrogen on the preference and performance of a biological control agent for an invasive plant	BIOLOGICAL CONTROL	10.1016/j.biocontrol.2008.04.003
	201	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Paertel	 Laanisto	 Wilson	2008	Soil nitrogen and carbon heterogeneity in woodlands and grasslands: contrasts between temperate and tropical regions	GLOBAL ECOLOGY AND BIOGEOGRAPHY	10.1111/j.1466-8238.2007.00336.x
	202	search1_111714	Yes	Already picked up by Liao			Fickbohm	 Zhu		2006	Exotic purple loosestrife invasion of native cattail freshwater wetlands: Effects on organic matter distribution and soil nitrogen cycling	APPLIED SOIL ECOLOGY	10.1016/j.apsoil.2004.12.011
	203	search1_111714	No			Yes	Wolf	 Beatty	 Seastedt	2004	Soil characteristics of Rocky Mountain National Park grasslands invaded by Melilotus officinalis and M-alba	JOURNAL OF BIOGEOGRAPHY	
	204	search1_111714	No			Yes	Zhang	 Ding	 Luo	2010	Changes in soil organic carbon dynamics in an Eastern Chinese coastal wetland following invasion by a C-4 plant Spartina alterniflora	SOIL BIOLOGY & BIOCHEMISTRY	10.1016/j.soilbio.2010.06.006
	205	search1_111714	No			Yes	Yelenik	 Levine		2010	Native shrub reestablishment in exotic annual grasslands: Do ecosystem processes recover?	ECOLOGICAL APPLICATIONS	10.1890/08-2365.1
	206	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Mazzola	 Allcock	 Chambers	2008	Effects of nitrogen availability and cheatgrass competition on the establishment of Vavilov Siberian wheatgrass	RANGELAND ECOLOGY & MANAGEMENT	10.2111/07-133.1
	207	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Kuijper	 Dubbeld	 Bakker	2005	Competition between two grass species with and without grazing over a productivity gradient	PLANT ECOLOGY	10.1007/s11258-005-0199-1
	208	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Knochel	 Flagg	 Seastedt	2010	"Effects of plant competition, seed predation, and nutrient limitation on seedling survivorship of spotted knapweed (Centaurea stoebe)"	BIOLOGICAL INVASIONS	10.1007/s10530-010-9769-9
	209	search1_111714	Yes	Soil nitrogen is strictly an independent variable			James	 Mangold	 Sheley	2009	Root plasticity of native and invasive Great Basin species in response to soil nitrogen heterogeneity	PLANT ECOLOGY	10.1007/s11258-008-9457-3
	210	search1_111714	No			Yes	Huebner	 Morin	 Zurbriggen	2009	Patterns of exotic plant invasions in Pennsylvania's Allegheny National Forest using intensive Forest Inventory and Analysis plots	FOREST ECOLOGY AND MANAGEMENT	10.1016/j.foreco.2008.08.036
	211	search1_111714	No			Yes	Domenech	 Vila	 Gesti	2006	"Neighbourhood association of Cortaderia selloana invasion, soil properties and plant community structure in Mediterranean coastal grasslands"	ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY	10.1016/j.actao.2005.09.004
	212	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Belnap	 Sherrod	 Miller	2003	Effects of soil amendments on germination and emergence of downy brome (Bromus tectorum) and Hilaria jamesii	WEED SCIENCE	10.1614/0043-1745(2003)051[0371:EOSAOG]2.0.CO;2
	213	search1_111714	Yes	Review			Dear	 Virgona		1996	Legumes in low-input perennial pastures of southern Australia: Historical role and future development	NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH	
	214	search1_111714	No			Yes	Hughes	 Uowolo	 Togia	2012	"Recovery of native forest after removal of an invasive tree, Falcataria moluccana, in American Samoa"	BIOLOGICAL INVASIONS	10.1007/s10530-011-0164-y
	215	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Jeffers	 Bonsall	 Watson	2012	Climate change impacts on ecosystem functioning: evidence from an Empetrum heathland	NEW PHYTOLOGIST	10.1111/j.1469-8137.2011.03907.x
	216	search1_111714	No			Yes	Alberti	 Leronni	 Piazzi	2011	Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy	REGIONAL ENVIRONMENTAL CHANGE	10.1007/s10113-011-0229-6
	217	search1_111714	Yes	Review			Allen	 Steers	 Dickens	2011	Impacts of Fire and Invasive Species on Desert Soil Ecology	RANGELAND ECOLOGY & MANAGEMENT	10.2111/REM-D-09-00159.1
	218	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Bennett	 Thomsen	 Strauss	2011	MULTIPLE MECHANISMS ENABLE INVASIVE SPECIES TO SUPPRESS NATIVE SPECIES	AMERICAN JOURNAL OF BOTANY	10.3732/ajb.1000177
	219	search1_111714	Yes	Soil nitrogen is strictly an independent variable		Yes	Mazzola	 Chambers	 Blank	2011	Effects of resource availability and propagule supply on native species recruitment in sagebrush ecosystems invaded by Bromus tectorum	BIOLOGICAL INVASIONS	10.1007/s10530-010-9846-0
	220	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Tanentzap	 Bazely	 Lafortezza	2010	Diversity-invasibility relationships across multiple scales in disturbed forest understoreys	BIOLOGICAL INVASIONS	10.1007/s10530-009-9612-3
	221	search1_111714	Yes	Soil nitrogen is strictly an independent variable		Yes	Miller	 Seastedt		2009	Impacts of woodchip amendments and soil nutrient availability on understory vegetation establishment following thinning of a ponderosa pine forest	FOREST ECOLOGY AND MANAGEMENT	10.1016/j.foreco.2009.04.011
	222	search1_111714	No			Yes	DeCant			2008	"RUSSIAN OLIVE, ELAEAGNUS ANGUSTIFOLIA, ALTERS PATTERNS IN SOIL NITROGEN POOLS ALONG THE RIO GRANDE RIVER, NEW MEXICO, USA"	WETLANDS	10.1672/07-160.1
	223	search1_111714	"Yes, but has traits"		Yes	Yes	Leonard	 Monaco	 Stark	2008	"Invasive Forb, Annual Grass, and Exotic Shrub Competition with Three Sagebrush-Steppe Growth Forms: Acquisition of a Spring N-15 Tracer"	INVASIVE PLANT SCIENCE AND MANAGEMENT	10.1614/IPSM-07-038.1
	224	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Holmes			2008	Optimal ground preparation treatments for restoring lowland Sand Fynbos vegetation on old fields	SOUTH AFRICAN JOURNAL OF BOTANY	10.1016/j.sajb.2007.08.005
	225	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Frankow-Lindberg			2012	Grassland plant species diversity decreases invasion by increasing resource use	OECOLOGIA	10.1007/s00442-011-2230-7
	226	search1_111714	Yes	Soil nitrogen is strictly an independent variable		Yes	Leffler	 Monaco	 James	2011	Nitrogen acquisition by annual and perennial grass seedlings: testing the roles of performance and plasticity to explain plant invasion	PLANT ECOLOGY	10.1007/s11258-011-9933-z
	227	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Rao	 Steers	 Allen	2011	Effects of natural and anthropogenic gradients on native and exotic winter annuals in a southern California Desert	PLANT ECOLOGY	10.1007/s11258-010-9888-5
	228	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Stevens	 Fehmi		2011	Early Establishment of a Native Grass Reduces the Competitive Effect of a Non-Native Grass	RESTORATION ECOLOGY	10.1111/j.1526-100X.2009.00565.x
	229	search1_111714	No			Yes	Peng	 Fang	 Li	2011	"Spartina alterniflora invasion increases soil inorganic nitrogen pools through interactions with tidal subsidies in the Yangtze Estuary, China"	OECOLOGIA	10.1007/s00442-010-1887-7
	230	search1_111714	No			Yes	Sharma	 Muhl	 Esler	2010	Competitive interactions between the alien invasive annual grass Avena fatua and indigenous herbaceous plants in South African Renosterveld: the role of nitrogen enrichment	BIOLOGICAL INVASIONS	10.1007/s10530-010-9730-y
	231	search1_111714	Yes	Review			Chen	 Brassard		2013	Intrinsic and Extrinsic Controls of Fine Root Life Span	CRITICAL REVIEWS IN PLANT SCIENCES	10.1080/07352689.2012.734742
	232	search1_111714	Yes	Soil nitrogen is strictly an independent variable			He	 Yu	 Sun	2011	Nitrogen deposition enhances Bromus tectorum invasion: biogeographic differences in growth and competitive ability between China and North America	ECOGRAPHY	10.1111/j.1600-0587.2011.06835.x
	233	search1_111714	No			Yes	Thorpe	 Callaway		2011	Biogeographic differences in the effects of Centaurea stoebe on the soil nitrogen cycle: novel weapons and soil microbes	BIOLOGICAL INVASIONS	10.1007/s10530-010-9902-9
	234	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Souza	 Bunn	 Weltzin	2011	Similar biotic factors affect early establishment and abundance of an invasive plant species across spatial scales	BIOLOGICAL INVASIONS	10.1007/s10530-010-9805-9
	235	search1_111714	No			Yes	Timsina	 Shrestha	 Rokaya	2011	Impact of Parthenium hysterophorus L. invasion on plant species composition and soil properties of grassland communities in Nepal	FLORA	10.1016/j.flora.2010.09.004
y	236	search1_111714	No			Yes	DeMeester	 Richter		2010	Differences in wetland nitrogen cycling between the invasive grass Microstegium vimineum and a diverse plant community	ECOLOGICAL APPLICATIONS	10.1890/09-0283.1
	237	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Dodson	 Peterson		2009	"Seeding and fertilization effects on plant cover and community recovery following wildfire in the Eastern Cascade Mountains, USA"	FOREST ECOLOGY AND MANAGEMENT	10.1016/j.foreco.2009.07.013
	238	search1_111714	No			Yes	Nosshi	 Butler	 Trlica	2007	Soil nitrogen mineralization not affected by grass species traits	SOIL BIOLOGY & BIOCHEMISTRY	10.1016/j.soilbio.2006.11.013
	239	search1_111714	No			Yes	Yelenik	 D'Antonio		2013	Self-reinforcing impacts of plant invasions change over time	NATURE	10.1038/nature12798
	240	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Jamieson	 Bowers		2012	"Soil nitrogen availability and herbivore attack influence the chemical defenses of an invasive plant (Linaria dalmatica, Plantaginaceae)"	CHEMOECOLOGY	10.1007/s00049-011-0087-1
	241	search1_111714	Yes	Soil nitrogen is strictly an independent variable		Yes	Steers	 Funk	 Allen	2011	Can resource-use traits predict native vs. exotic plant success in carbon amended soils?	ECOLOGICAL APPLICATIONS	10.1890/09-2345.1
	242	search1_111714	No			Yes	McGlone	 Sieg	 Kolb	2011	"Invasion resistance and persistence: established plants win, even with disturbance and high propagule pressure"	BIOLOGICAL INVASIONS	10.1007/s10530-010-9806-8
	243	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Brunson	 Pyke	 Perakis	2010	Yield Responses of Ruderal Plants to Sucrose in Invasive-Dominated Sagebrush Steppe of the Northern Great Basin	RESTORATION ECOLOGY	10.1111/j.1526-100X.2009.00644.x
	244	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Kochy	 Wilson		2005	Variation in nitrogen deposition and available soil nitrogen in a forest-grassland ecotone in Canada	LANDSCAPE ECOLOGY	10.1007/s10980-004-2264-x
	245	search1_111714	Yes	Soil nitrogen is strictly an independent variable			RAPSON	 WILSON		1992	"GENECOLOGY OF AGROSTIS-CAPILLARIS L (POACEAE) - AN INVADER INTO NEW-ZEALAND .2. RESPONSES TO LIGHT, SOIL FERTILITY, AND WATER AVAILABILITY"	NEW ZEALAND JOURNAL OF BOTANY	
	246	search1_111714	Yes	Soil nitrogen is strictly an independent variable		Yes	Cleland	 Larios	 Suding	2013	Strengthening Invasion Filters to Reassemble Native Plant Communities: Soil Resources and Phenological Overlap	RESTORATION ECOLOGY	10.1111/j.1526-100X.2012.00896.x
	247	search1_111714	No			Yes	Tharayil	 Alpert	 Bhowmik	2013	Phenolic inputs by invasive species could impart seasonal variations in nitrogen pools in the introduced soils: A case study with Polygonum cuspidatum	SOIL BIOLOGY & BIOCHEMISTRY	10.1016/j.soilbio.2012.09.016
	248	search1_111714	No			Yes	Schaeffer	 Ziegler	 Belnap	2012	Effects of Bromus tectorum invasion on microbial carbon and nitrogen cycling in two adjacent undisturbed arid grassland communities	BIOGEOCHEMISTRY	10.1007/s10533-011-9668-x
y	249	search1_111714	No			Yes	Lee	 Flory	 Phillips	2012	Positive feedbacks to growth of an invasive grass through alteration of nitrogen cycling	OECOLOGIA	10.1007/s00442-012-2309-9
	250	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Hinz	 Schwarzlaender	 McKenney	2012	"Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges"	BIOLOGICAL INVASIONS	10.1007/s10530-012-0207-z
	251	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Mitchell	 Bakker		2011	Carbon Addition as a Technique for Controlling Exotic Species in Pacific Northwest Prairies	NORTHWEST SCIENCE	10.3955/046.085.0213
	252	search1_111714	Yes	Not on invasive plants			Niwa	 Mariani	 Kaneko	2011	Early-stage impacts of sika deer on structure and function of the soil microbial food webs in a temperate forest: A large-scale experiment	FOREST ECOLOGY AND MANAGEMENT	10.1016/j.foreco.2010.10.024
	253	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Otfinowski	 Kenkel		2010	Covariance between disturbance and soil resources dictates the invasibility of northern fescue prairies	BIOLOGICAL INVASIONS	10.1007/s10530-009-9551-z
	254	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Alford	 Vivanco	 Paschke	2009	The Effects of Flavonoid Allelochemicals from Knapweeds on Legume-Rhizobia Candidates for Restoration	RESTORATION ECOLOGY	10.1111/j.1526-100X.2008.00405.x
	255	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Claassen	 Carey		2007	Comparison of slow-release nitrogen yield from organic soil amendments and chemical fertilizers and implications for regeneration of disturbed sites	LAND DEGRADATION & DEVELOPMENT	10.1002/ldr.770
	256	search1_111714	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Gonzalez-Munoz	 Castro-Diez	 Parker	2013	Differences in nitrogen use strategies between native and exotic tree species: predicting impacts on invaded ecosystems	PLANT AND SOIL	10.1007/s11104-012-1329-x
	257	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Tanentzap	 Lee	 Monks	2013	Increased nitrogen cycling facilitates native forest regeneration: Potential for restoring extinct ecological processes?	ECOLOGICAL APPLICATIONS	
	258	search1_111714	No			Yes	Hamman	 Hawkes		2013	Biogeochemical and Microbial Legacies of Non-Native Grasses Can Affect Restoration Success	RESTORATION ECOLOGY	10.1111/j.1526-100X.2011.00856.x
	259	search1_111714	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Hirtreiter	 Potts		2012	"Canopy structure, photosynthetic capacity and nitrogen distribution in adjacent mixed and monospecific stands of Phragmites australis and Typha latifolia"	PLANT ECOLOGY	10.1007/s11258-012-0044-2
