obsID	measEntryID	measCat	measUnit	measVarType	measRef	measImageFile	measAggNum	measAggNote	measInvMean	measInvVar	measInvN	measNatMean	measNatVar	measNatN	measNote	measMethod
59.01	8	nh	mg/kg	SD	Table 6				5.5	6.1	6	4.1	5.5	6		
59.01	9	no	mg/kg	SD	Table 7				9.1	5.7	6	6.3	4.4	6		
59.01	10	toti	mg/kg	SD	Table 8		4	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
59.02	1	ph	pH	SD	Table 1		1	Average 0-10cm and 10-20cm	AGG	AGG	AGG	AGG	AGG	AGG		
59.02	2	soilmoi	cm3/cm3	SD	Table 1		2	Average 0-10cm and 10-20cm	AGG	AGG	AGG	AGG	AGG	AGG		
59.02	3	soiln	g/m2	SD	Table 3				315	87	6	150	24	6		
59.02	4	soilcn	NA	SD	Table 3				11.7	1.6	6	11.7	1	6		
59.02	5	microbcn	NA	SD	Table 4		3	"The author pooled across soil depths (0-10cm, 10-20cm).  Divide C (mgC/kg soil) by N (mgN/kg soil)"	AGG	AGG	AGG	AGG	AGG	AGG		
59.02	6	nminz	mg/kg*d	SD	Table 4				1	0.8	6	0.5	0.5	6		
59.02	7	nitrif	mg/kg*d	SD	Table 5				1	0.8	6	0.4	0.4	6		
59.02	8	nh	mg/kg	SD	Table 6				8.6	8.8	6	4.1	5.5	6		
59.02	9	no	mg/kg	SD	Table 7				21.9	17.1	6	6.3	4.4	6		
59.02	10	toti	mg/kg	SD	Table 8		4	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
59.03	1	ph	pH	SD	Table 1		1	Average 0-10cm and 10-20cm	AGG	AGG	AGG	AGG	AGG	AGG		
59.03	2	soilmoi	cm3/cm3	SD	Table 1		2	Average 0-10cm and 10-20cm	AGG	AGG	AGG	AGG	AGG	AGG		
59.03	3	soiln	g/m2	SD	Table 3				307	114	6	150	24	6		
59.03	4	soilcn	NA	SD	Table 3				13.9	1.4	6	11.7	1	6		
59.03	5	microbcn	NA	SD	Table 4		3	"The author pooled across soil depths (0-10cm, 10-20cm).  Divide C (mgC/kg soil) by N (mgN/kg soil)"	AGG	AGG	AGG	AGG	AGG	AGG		
59.03	6	nminz	mg/kg*d	SD	Table 4				1	0.8	6	0.5	0.5	6		
59.03	7	nitrif	mg/kg*d	SD	Table 5				1	0.7	6	0.4	0.4	6		
59.03	8	nh	mg/kg	SD	Table 6				7.3	6.4	6	4.1	5.5	6		
59.03	9	no	mg/kg	SD	Table 7				19.7	15.5	6	6.3	4.4	6		
59.03	10	toti	mg/kg	SD	Table 8		4	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.01	1	ph	pH	SE	Table 4				3.65	0.06	10	3.74	0.11	10		
62.01	2	som	%	SE	Table 4				8.02	0.62	10	9.95	2.67	10		
62.01	3	nh	ug/g	SE	Table 4				8.87	1.51	10	3.08	0.18	10		
62.01	4	toti	ug/g	SE	Table 4		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.01	4	no	ug/g	SE	Table 4				0.62	0.03	10	0.5	0.01	10		
62.02	1	ph	pH	SE	Table 4				3.95	0.08	10	4.33	0.25	10		
62.02	2	som	%	SE	Table 4				8.95	1.15	10	10.05	1.03	10		
62.02	3	nh	ug/g	SE	Table 4				7.27	2.91	10	3.66	0.52	10		
62.02	4	toti	ug/g	SE	Table 4		2	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.02	4	no	ug/g	SE	Table 4				0.57	0.03	10	0.59	0.05	10		
62.03	1	ph	pH	SE	Table 4				3.62	0.04	10	3.56	0.04	10		
62.03	2	som	%	SE	Table 4				10.4	0.56	10	11.56	1.12	10		
62.03	3	nh	ug/g	SE	Table 4				16.05	4.85	10	2.95	0.98	10		
62.03	4	toti	ug/g	SE	Table 4		3	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.03	4	no	ug/g	SE	Table 4				0.88	0.14	10	0.84	0.29	10		
62.04	1	ph	pH	SE	Table 4				3.46	0.06	10	3.51	0.07	10		
62.04	2	som	%	SE	Table 4				15.08	3.35	10	9.31	0.78	10		
62.04	3	nh	ug/g	SE	Table 4				10.71	4.92	10	2.07	0.57	10		
62.04	4	toti	ug/g	SE	Table 4		4	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.04	4	no	ug/g	SE	Table 4				0.53	0.03	10	0.65	0.04	10		
62.05	1	ph	pH	SE	Table 4				5.27	0.21	10	3.58	0.05	10		
62.05	2	som	%	SE	Table 4				4.62	0.63	10	17.16	1.57	10		
62.05	3	nh	ug/g	SE	Table 4				6.11	1.5	10	1.22	0.17	10		
62.05	4	toti	ug/g	SE	Table 4		5	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.05	4	no	ug/g	SE	Table 4				0.98	0.09	10	0.69	0.12	10		
62.06	1	ph	pH	SE	Table 4				4.08	0.13	10	3.41	0.05	10		
62.06	2	som	%	SE	Table 4				3.2	0.34	10	13.46	1.28	10		
62.06	3	nh	ug/g	SE	Table 4				4.85	0.93	10	1.48	0.25	10		
62.06	4	toti	ug/g	SE	Table 4		6	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.06	4	no	ug/g	SE	Table 4				0.71	0.22	10	0.45	0.03	10		
62.07	1	ph	pH	SE	Table 4				5.24	0.21	10	3.37	0.07	10		
62.07	2	som	%	SE	Table 4				4.12	0.54	10	4.3	0.68	10		
62.07	3	nh	ug/g	SE	Table 4				6.52	1.04	10	1.14	0.19	10		
62.07	4	toti	ug/g	SE	Table 4		7	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.07	4	no	ug/g	SE	Table 4				0.49	0.05	10	0.46	0.04	10		
62.08	1	ph	pH	SE	Table 4				3.55	0.05	10	3.74	0.11	10		
62.08	2	som	%	SE	Table 4				9.96	1.08	10	9.95	2.67	10		
62.08	3	nh	ug/g	SE	Table 4				5.11	0.51	10	3.08	0.18	10		
62.08	4	toti	ug/g	SE	Table 4		8	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.08	4	no	ug/g	SE	Table 4				0.53	0.06	10	0.5	0.01	10		
62.09	1	ph	pH	SE	Table 4				3.47	0.04	10	4.33	0.25	10		
62.09	2	som	%	SE	Table 4				7.87	0.74	10	10.05	1.03	10		
62.09	3	nh	ug/g	SE	Table 4				5.18	0.69	10	3.66	0.52	10		
62.09	4	toti	ug/g	SE	Table 4		9	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.09	4	no	ug/g	SE	Table 4				0.72	0.03	10	0.59	0.05	10		
62.1	1	ph	pH	SE	Table 4				3.55	0.07	10	3.56	0.04	10		
62.1	2	som	%	SE	Table 4				13.86	1.65	10	11.56	1.12	10		
62.1	3	nh	ug/g	SE	Table 4				11.71	1.62	10	2.95	0.98	10		
62.1	4	toti	ug/g	SE	Table 4		10	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.1	4	no	ug/g	SE	Table 4				0.97	0.15	10	0.84	0.29	10		
62.11	1	ph	pH	SE	Table 4				3.41	0.06	10	3.51	0.07	10		
62.11	2	som	%	SE	Table 4				8.76	0.95	10	9.31	0.78	10		
62.11	3	nh	ug/g	SE	Table 4				6.22	1.69	10	2.07	0.57	10		
62.11	4	toti	ug/g	SE	Table 4		11	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.11	4	no	ug/g	SE	Table 4				0.66	0.1	10	0.65	0.04	10		
62.12	1	ph	pH	SE	Table 4				3.09	0.03	10	3.41	0.05	10		
62.12	2	som	%	SE	Table 4				8.97	1.45	10	13.46	1.28	10		
62.12	3	nh	ug/g	SE	Table 4				5.35	1.96	10	1.48	0.25	10		
62.12	4	toti	ug/g	SE	Table 4		12	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.12	4	no	ug/g	SE	Table 4				0.37	0.03	10	0.45	0.03	10		
62.13	1	ph	pH	SE	Table 4				3.57	0.08	10	3.37	0.07	10		
62.13	2	som	%	SE	Table 4				4.26	0.71	10	4.3	0.68	10		
62.13	3	nh	ug/g	SE	Table 4				6.21	1.21	10	1.14	0.19	10		
62.13	4	toti	ug/g	SE	Table 4		13	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.13	4	no	ug/g	SE	Table 4				0.3	0.04	10	0.46	0.04	10		
62.14	1	ph	pH	SE	Table 4				4.03	0.06	10	3.99	0.04	10		
62.14	2	som	%	SE	Table 4				10.23	1.61	10	13.18	1.03	10		
62.14	3	nh	ug/g	SE	Table 4				5.88	0.97	10	1.03	0.11	10		
62.14	4	toti	ug/g	SE	Table 4		14	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.14	4	no	ug/g	SE	Table 4				0.62	0.06	10	0.42	0.03	10		
62.15	1	ph	pH	SE	Table 4				3.55	0.08	10	3.74	0.11	10		
62.15	2	som	%	SE	Table 4				7.85	0.82	10	9.95	2.67	10		
62.15	3	nh	ug/g	SE	Table 4				5.7	1.89	10	3.08	0.18	10		
62.15	4	toti	ug/g	SE	Table 4		15	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.15	4	no	ug/g	SE	Table 4				0.76	0.09	10	0.5	0.01	10		
62.16	1	ph	pH	SE	Table 4				3.95	0.14	10	4.33	0.25	10		
62.16	2	som	%	SE	Table 4				9.76	1.41	10	10.05	1.03	10		
62.16	3	nh	ug/g	SE	Table 4				5.03	0.5	10	3.66	0.52	10		
62.16	4	toti	ug/g	SE	Table 4		16	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.16	4	no	ug/g	SE	Table 4				0.71	0.08	10	0.59	0.05	10		
62.17	1	ph	pH	SE	Table 4				3.46	0.07	10	3.56	0.04	10		
62.17	2	som	%	SE	Table 4				14.9	3	10	11.56	1.12	10		
62.17	3	nh	ug/g	SE	Table 4				19.16	3.12	10	2.95	0.98	10		
62.17	4	toti	ug/g	SE	Table 4		17	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.17	4	no	ug/g	SE	Table 4				1.17	0.37	10	0.84	0.29	10		
62.18	1	ph	pH	SE	Table 4				3.39	0.05	10	3.51	0.07	10		
62.18	2	som	%	SE	Table 4				9.44	1.59	10	9.31	0.78	10		
62.18	3	nh	ug/g	SE	Table 4				1.68	0.34	10	2.07	0.57	10		
62.18	4	toti	ug/g	SE	Table 4		18	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.18	4	no	ug/g	SE	Table 4				0.6	0.06	10	0.65	0.04	10		
62.19	1	ph	pH	SE	Table 4				NA	NA	NA	3.6	0.05	10		
62.19	2	som	%	SE	Table 4				9.95	0.67	10	8.7	1.21	10		
62.19	3	nh	ug/g	SE	Table 4				55.32	12.5	10	2.89	1.09	10		
62.19	4	toti	ug/g	SE	Table 4		19	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.19	4	no	ug/g	SE	Table 4				5.89	1.61	10	0.56	0.07	10		
62.2	1	ph	pH	SE	Table 4				3.6	0.08	10	3.58	0.05	10		
62.2	2	som	%	SE	Table 4				27.07	3.59	10	17.16	1.57	10		
62.2	3	nh	ug/g	SE	Table 4				15.58	3.88	10	1.22	0.17	10		
62.2	4	toti	ug/g	SE	Table 4		20	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.2	4	no	ug/g	SE	Table 4				1.75	0.5	10	0.69	0.12	10		
62.21	1	ph	pH	SE	Table 4				4.08	0.07	10	3.99	0.04	10		
62.21	2	som	%	SE	Table 4				9.24	1.22	10	13.18	1.03	10		
62.21	3	nh	ug/g	SE	Table 4				18.62	7.29	10	1.03	0.11	10		
62.21	4	toti	ug/g	SE	Table 4		21	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.21	4	no	ug/g	SE	Table 4				1.34	0.87	10	0.42	0.03	10		
62.22	1	ph	pH	SE	Table 4				3.97	0.05	10	4.35	0.05	10		
62.22	2	som	%	SE	Table 4				14.78	1.92	10	8.91	1.18	10		
62.22	3	nh	ug/g	SE	Table 4				9.76	1.82	10	2.37	0.57	10		
62.22	4	toti	ug/g	SE	Table 4		22	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.22	4	no	ug/g	SE	Table 4				0.63	0.09	10	0.42	0.06	10		
62.23	1	ph	pH	SE	Table 4				3.63	0.07	10	3.74	0.11	10		
62.23	2	som	%	SE	Table 4				9.01	1.32	10	9.95	2.67	10		
62.23	3	nh	ug/g	SE	Table 4				5.66	0.78	10	3.08	0.18	10		
62.23	4	toti	ug/g	SE	Table 4		23	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.23	4	no	ug/g	SE	Table 4				0.58	0.06	10	0.5	0.01	10		
62.24	1	ph	pH	SE	Table 4				3.31	0.07	10	4.33	0.25	10		
62.24	2	som	%	SE	Table 4				14.1	2.41	10	10.05	1.03	10		
62.24	3	nh	ug/g	SE	Table 4				6.18	0.88	10	3.66	0.52	10		
62.24	4	toti	ug/g	SE	Table 4		24	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.24	4	no	ug/g	SE	Table 4				0.65	0.08	10	0.59	0.05	10		
62.25	1	ph	pH	SE	Table 4				3.35	0.07	10	3.56	0.04	10		
62.25	2	som	%	SE	Table 4				11.89	2.31	10	11.56	1.12	10		
62.25	3	nh	ug/g	SE	Table 4				6.74	0.94	10	2.95	0.98	10		
62.25	4	toti	ug/g	SE	Table 4		25	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.25	4	no	ug/g	SE	Table 4				0.51	0.05	10	0.84	0.29	10		
62.26	1	ph	pH	SE	Table 4				3.37	0.08	10	3.51	0.07	10		
62.26	2	som	%	SE	Table 4				9.1	1.42	10	9.31	0.78	10		
62.26	3	nh	ug/g	SE	Table 4				2.37	0.35	10	2.07	0.57	10		
62.26	4	toti	ug/g	SE	Table 4		26	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.26	4	no	ug/g	SE	Table 4				0.41	0.05	10	0.65	0.04	10		
62.27	1	ph	pH	SE	Table 4				4.66	0.2	10	3.58	0.05	10		
62.27	2	som	%	SE	Table 4				5	0.58	10	17.16	1.57	10		
62.27	3	nh	ug/g	SE	Table 4				6.42	1.62	10	1.22	0.17	10		
62.27	4	toti	ug/g	SE	Table 4		27	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.27	4	no	ug/g	SE	Table 4				0.73	0.05	10	0.69	0.12	10		
62.28	1	ph	pH	SE	Table 4				3.22	0.07	10	3.41	0.05	10		
62.28	2	som	%	SE	Table 4				17.98	4.31	10	13.46	1.28	10		
62.28	3	nh	ug/g	SE	Table 4				5.18	1.06	10	1.48	0.25	10		
62.28	4	toti	ug/g	SE	Table 4		28	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.28	4	no	ug/g	SE	Table 4				0.45	0.08	10	0.45	0.03	10		
62.29	1	ph	pH	SE	Table 4				3.8	0.06	10	3.37	0.07	10		
62.29	2	som	%	SE	Table 4				11.97	2.17	10	4.3	0.68	10		
62.29	3	nh	ug/g	SE	Table 4				3.43	0.67	10	1.14	0.19	10		
62.29	4	toti	ug/g	SE	Table 4		29	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.29	4	no	ug/g	SE	Table 4				0.37	0.05	10	0.46	0.04	10		
62.3	1	ph	pH	SE	Table 4				4.49	0.39	10	3.99	0.04	10		
62.3	2	som	%	SE	Table 4				9.9	1.08	10	13.18	1.03	10		
62.3	3	nh	ug/g	SE	Table 4				2.44	0.33	10	1.03	0.11	10		
62.3	4	toti	ug/g	SE	Table 4		30	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.3	4	no	ug/g	SE	Table 4				0.87	0.14	10	0.42	0.03	10		
62.31	1	ph	pH	SE	Table 4				3.68		10	3.74	0.11	10		
62.31	2	som	%	SE	Table 4				5.31	0.21	10	9.95	2.67	10		
62.31	3	nh	ug/g	SE	Table 4				14.6	1.19	10	3.08	0.18	10		
62.31	4	toti	ug/g	SE	Table 4		31	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.31	4	no	ug/g	SE	Table 4				0.97	0.19	10	0.5	0.01	10		
62.32	1	ph	pH	SE	Table 4				4.03		10	4.33	0.25	10		
62.32	2	som	%	SE	Table 4				8.11	0.82	10	10.05	1.03	10		
62.32	3	nh	ug/g	SE	Table 4				6.27	1.35	10	3.66	0.52	10		
62.32	4	toti	ug/g	SE	Table 4		32	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.32	4	no	ug/g	SE	Table 4				0.95	0.11	10	0.59	0.05	10		
62.33	1	ph	pH	SE	Table 4				3.6		10	3.56	0.04	10		
62.33	2	som	%	SE	Table 4				19.14	3.16	10	11.56	1.12	10		
62.33	3	nh	ug/g	SE	Table 4				18.85	2.94	10	2.95	0.98	10		
62.33	4	toti	ug/g	SE	Table 4		33	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.33	4	no	ug/g	SE	Table 4				2.31	0.59	10	0.84	0.29	10		
62.34	1	ph	pH	SE	Table 4				3.87		10	3.51	0.07	10		
62.34	2	som	%	SE	Table 4				8.8	1.28	10	9.31	0.78	10		
62.34	3	nh	ug/g	SE	Table 4				6.27	0.75	10	2.07	0.57	10		
62.34	4	toti	ug/g	SE	Table 4		34	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.34	4	no	ug/g	SE	Table 4				0.74	0.1	10	0.65	0.04	10		
62.35	1	ph	pH	SE	Table 4				NA	NA	NA	3.6	0.05	10		
62.35	2	som	%	SE	Table 4				7.82	0.86	10	8.7	1.21	10		
62.35	3	nh	ug/g	SE	Table 4				30.96	5.6	10	2.89	1.09	10		
62.35	4	toti	ug/g	SE	Table 4		35	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.35	4	no	ug/g	SE	Table 4				2.23	0.37	10	0.56	0.07	10		
62.36	1	ph	pH	SE	Table 4				3.55	0.07	10	3.58	0.05	10		
62.36	2	som	%	SE	Table 4				23.95	1.41	10	17.16	1.57	10		
62.36	3	nh	ug/g	SE	Table 4				48.51	15.8	10	1.22	0.17	10		
62.36	4	toti	ug/g	SE	Table 4		36	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.36	4	no	ug/g	SE	Table 4				3.64	1.21	10	0.69	0.12	10		
62.37	1	ph	pH	SE	Table 4				4.19	0.04	10	4.35	0.05	10		
62.37	2	som	%	SE	Table 4				11.84	1.27	10	8.91	1.18	10		
62.37	3	nh	ug/g	SE	Table 4				19.05	3.51	10	2.37	0.57	10		
62.37	4	toti	ug/g	SE	Table 4		37	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
62.37	4	no	ug/g	SE	Table 4				1.57	0.36	10	0.42	0.06	10		
71.01	1	nitrif	ug/g*d	SE	Table 1		1	Average 2000 and 2001	AGG	AGG	AGG	AGG	AGG	AGG		
71.01	2	nminz	ug/g*d	SE	Table 1		2	Average 2000 and 2001	AGG	AGG	AGG	AGG	AGG	AGG		
71.01	3	soiln	%	SE	Table 1				0.252	0.0079	10	0.289	0.011	10		
71.01	4	soilcn	NA	SE	Table 1		3	Divide %C by %N	AGG	AGG	AGG	AGG	AGG	AGG		
71.02	1	nitrif	ug/g*d	SE	Table 1		1	Average 2000 and 2001	AGG	AGG	AGG	AGG	AGG	AGG		
71.02	2	nminz	ug/g*d	SE	Table 1		2	Average 2000 and 2001	AGG	AGG	AGG	AGG	AGG	AGG		
71.02	3	soiln	%	SE	Table 1				0.253	0.0063	10	0.253	0.015	10		
71.02	4	soilcn	NA	SE	Table 1		3	Divide %C by %N	AGG	AGG	AGG	AGG	AGG	AGG		
77.01	1	soilmoi	%	SE	Figure 2	77.xlsx	1	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.01	2	nh	ug/g	SE	Figure 3	77.xlsx	2	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.01	3	no	ug/g	SE	Figure 4	77.xlsx	3	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.01	4	soiln	%	SE	Figure 5	77.xlsx	4	Average 0-5cm and 5-10cm depths	AGG	AGG	AGG	AGG	AGG	AGG		
77.01	5	toti	ug/g	SE	Figure 3 and 4	77.xlsx	5	"Average 0-5cm and 5-10cm depths and 9 sampling times, add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
77.02	1	soilmoi	%	SE	Figure 2	77.xlsx	1	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.02	2	nh	ug/g	SE	Figure 3	77.xlsx	2	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.02	3	no	ug/g	SE	Figure 4	77.xlsx	3	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.02	4	soiln	%	SE	Figure 5	77.xlsx	4	Average 0-5cm and 5-10cm depths	AGG	AGG	AGG	AGG	AGG	AGG		
77.02	5	toti	ug/g	SE	Figure 3 and 4	77.xlsx	5	"Average 0-5cm and 5-10cm depths and 9 sampling times, add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
77.03	1	soilmoi	%	SE	Figure 2	77.xlsx	1	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.03	2	nh	ug/g	SE	Figure 3	77.xlsx	2	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.03	3	no	ug/g	SE	Figure 4	77.xlsx	3	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.03	4	soiln	%	SE	Figure 5	77.xlsx	4	Average 0-5cm and 5-10cm depths	AGG	AGG	AGG	AGG	AGG	AGG		
77.03	5	toti	ug/g	SE	Figure 3 and 4	77.xlsx	5	"Average 0-5cm and 5-10cm depths and 9 sampling times, add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
77.04	1	soilmoi	%	SE	Figure 2	77.xlsx	1	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.04	2	nh	ug/g	SE	Figure 3	77.xlsx	2	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.04	3	no	ug/g	SE	Figure 4	77.xlsx	3	Average 0-5cm and 5-10cm depths and 9 sampling times 	AGG	AGG	AGG	AGG	AGG	AGG		
77.04	4	soiln	%	SE	Figure 5	77.xlsx	4	Average 0-5cm and 5-10cm depths	AGG	AGG	AGG	AGG	AGG	AGG		
77.04	5	toti	ug/g	SE	Figure 3 and 4	77.xlsx	5	"Average 0-5cm and 5-10cm depths and 9 sampling times, add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
80.01	1	som	%	SE	Table 1				2.47	0.69	12	0.92	0.14	12		
80.01	2	soiln	ug/g	SE	Table 1				538	91.9	12	146	10.2	12		
80.01	3	soilcn	NA	SE	Table 1				25.6	NA	NA	35.2	NA	NA	Variance data is not reported	
80.01	4	nminz	ug/g*y	SE	Figure 3b	80.xlsx			4.669	3.424	12	7.004	1.634	12		
80.01	5	nh	ug/g	SE	Figure 1b	80.xlsx	1	Average across 17 sampling times	AGG	AGG	AGG	AGG	AGG	AGG		
80.01	6	no	ug/g	SE	Figure 1c	80.xlsx	2	Average across 17 sampling times	AGG	AGG	AGG	AGG	AGG	AGG		
80.01	7	toti	ug/g	SE	Figure 1	80.xlsx	3	"Average across 17 sampling times, Add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
80.02	1	som	%	SE	Table 1				2.29	0.32	12	1.07	0.15	12		
80.02	2	soiln	ug/g	SE	Table 1				788	118.2	12	289	34.5	12		
80.02	3	soilcn	NA	SE	Table 1				16.2	NA	NA	20.6	NA	NA		
80.02	4	nminz	ug/g*y	SE	Figure 3b	80.xlsx			25.525	7.315	12	13.074	2.335	12		
80.02	5	nh	ug/g	SE	Figure 1b	80.xlsx	1	Average across 17 sampling times	AGG	AGG	AGG	AGG	AGG	AGG		
80.02	6	no	ug/g	SE	Figure 1c	80.xlsx	2	Average across 17 sampling times	AGG	AGG	AGG	AGG	AGG	AGG		
80.02	7	toti	ug/g	SE	Figure 1	80.xlsx	3	"Average across 17 sampling times, Add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
93.01	1	nh	ug/g	SE	Table 4				2	0.5	4	1	0.3	4		
93.01	2	no	ug/g	SE	Table 4				3.2	0.2	4	3	0.2	4		
93.01	3	toti	ug/g	SE	Table 4		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
93.01	4	soiln	ug/g	SE	Table 4				284	33	4	210	26	4		
93.01	5	som	%	SE	Table 4				1.9	NA	4	1.1	NA	4	Variance data is not reported	
93.01	6	ph	pH	SE	Table 4				5.5	0.1	4	5.2	0.1	4		
93.01	7	litterbiom	g/m2	SE	Table 3		2	Average of litter under A. saligna and A. cyclops in invaded area	AGG	AGG	AGG	AGG	AGG	AGG		
93.01	8	litterpercN	%	SE	Table 3		3	"Average of litter N (gN/m2) under A. saligna and A. cyclops in invaded area, divide litter N (gN/m2) by litter biom (g/m2)"	AGG	AGG	AGG	AGG	AGG	AGG		
93.02	1	nh	ug/g	SE	Table 4				3.6	1	4	1.6	0.2	4		
93.02	2	no	ug/g	SE	Table 4				4.2	0.2	4	2.8	0.2	4		
93.02	3	toti	ug/g	SE	Table 4		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
93.02	4	soiln	ug/g	SE	Table 4				567	54	4	803	44	4		
93.02	5	som	%	SE	Table 4				1.7	NA	4	3.2	NA	4		
93.02	6	ph	pH	SE	Table 4				7.5	0.1	4	7.6	0.1	4		
93.02	7	litterbiom	g/m2	SE	Table 3		2	Average of litter under A. saligna and A. cyclops in invaded area	AGG	AGG	AGG	AGG	AGG	AGG		
93.02	8	litterpercN	%	SE	Table 3		3	"Average of litter N (gN/m2) under A. saligna and A. cyclops in invaded area, divide litter N (gN/m2) by litter biom (g/m2)"	AGG	AGG	AGG	AGG	AGG	AGG		
137.01	1	biom	g/m2	SE	Figure 2a	137.xlsx	1	Average across 9 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG		grass live biomass
137.01	2	litterbiom	g/m2	SE	Figure 2bd	137.xlsx	2	"Average across 9 sampling dates, add necromass and woody litter"	AGG	AGG	AGG	AGG	AGG	AGG		grass necromass and woody litter
137.01	3	percN	%	SE	Figure 2 and 3a	137.xlsx	3	"Average across 5 sampling dates, divide N by biomass and multiply by 100"	AGG	AGG	AGG	AGG	AGG	AGG		
137.01	4	litterpercN	%	SE	Figure 2 and 3bd	137.xlsx	4	"Average across 5 sampling dates, add grass necromass N and woody litter N, divide litter N by biomass and multiply by 100"	AGG	AGG	AGG	AGG	AGG	AGG		
137.01	5	soiln	g/m2	SE	Figure 4	137.xlsx	5	Average across 4 sampling dates and 2 depths (0-5cm and 5-10cm)	AGG	AGG	AGG	AGG	AGG	AGG		
137.01	6	ammonif	mg/kg*28d	notReported	p.1554				0.67	NA	3	0.73	NA	3	Variance data is not reported	
137.01	7	nitrif	mg/kg*28d	notReported	p.1554				0.23	NA	3	0.5	NA	3	Variance data is not reported	
137.01	8	nh	ng/g*d	SE	Figure 5b	137.xlsx	6	Average across 8 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG		
137.01	9	no	ng/g*d	SE	Figure 5c	137.xlsx	7	Average across 8 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG		
