paperID	obsID	obsDescript	location	ecosystCat	ecosystDescript	studyType	obsMeasNote	obsCovNote	obsTraitNote	obsSpNote	GOBACK?
62	62.26	"invaded comparison = +R, location = Canford"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.27	"invaded comparison = +R, location = Higher Hyde"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.28	"invaded comparison = +R, location = SCH"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.29	"invaded comparison = +R, location = SR"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.3	"invaded comparison = +R, location = Trigon"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.31	"invaded comparison = +U, location = Arne"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.32	"invaded comparison = +U, location = AHCP"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.33	"invaded comparison = +U, location = Blackhill"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.34	"invaded comparison = +U, location = Canford"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.35	"invaded comparison = +U, location = Cranborne"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.36	"invaded comparison = +U, location = Higher Hyde"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
62	62.37	"invaded comparison = +U, location = Winfrith"	"Dorset, England"	shrubland	lowland heath	field study	"Surveyed 9 sites, each with the following vegetation types: a) heath (native), b) +B (invaded), c) +PS (invaded), d) +PA (invaded), e) +R (invaded), f) +U (invaded). Established 10 1m2 quadrats in each area and recorded percent cover of each species as well as took a soil core from the center (21cm depth)"	NA	NA	NA	No
71	71.01	burned	"Konza Prairie, KS, USA"	grassland	tallgrass prairie	field study	"2-110m2 sites, one site annually burned in the spring, the other site was unburned (2 observations?). 10 soil samples (15cm depth) under and between-bunches of the 2 dominant species (one native, the other invasive) were taken in 2000 and 2001. For the purpose of this meta-analysis, only the samples taken under the plants were included, not between. Insitu buried soil core method for minz.  "	NA	Total C and N content for end of season biomass of each dominant native and invasive species	NA	Consider including between-bunch data
71	71.02	unburned	"Konza Prairie, KS, USA"	grassland	tallgrass prairie	field study	"2-110m2 sites, one site annually burned in the spring, the other site was unburned (2 observations?). 10 soil samples (15cm depth) under and between-bunches of the 2 dominant species (one native, the other invasive) were taken in 2000 and 2001. For the purpose of this meta-analysis, only the samples taken under the grasses were included, not between. Insitu buried soil core method for minz.  "	NA	Total C and N content for end of season biomass of each dominant native and invasive species	NA	Consider including between-bunch data
77	77.01	"invaded comparison = C4 grasses recently invaded by Bromus, native comparison = C4 grasses"	"Canyonlands National Park, UT, USA"	grassland	arid and semi-arid grasslands	field study	"Sampled in the following vegetation types: a) C4 grasses (native), b) C3 grasses (native), c) C4 grasses invaded by Bromus (invaded), d) C3 grasses invaded by Bromus (invaded), and e) invaded/disturbed community dominated by Bromus (invaded).  3 plots per vegetation type (20x30m).  Soil sampled with a 1m core, separted into 6 sections.  For the purpose of this meta-analysis, only use data from the top 2 soil depths (0-5cm, 5-10cm) because these are most common across studies.  Soil was sampled at 9 time points: Jan, Mar, May, Jun, Aug, Nov, May, Jul, Sept."	NA	NA	NA	No
77	77.02	"invaded comparison = C3 grasses recently invaded by Bromus, native comparison = C3 grasses"	"Canyonlands National Park, UT, USA"	grassland	arid and semi-arid grasslands	field study	"Sampled in the following vegetation types: a) C4 grasses (native), b) C3 grasses (native), c) C4 grasses invaded by Bromus (invaded), d) C3 grasses invaded by Bromus (invaded), and e) invaded/disturbed community dominated by Bromus (invaded).  3 plots per vegetation type (20x30m).  Soil sampled with a 1m core, separted into 6 sections.  For the purpose of this meta-analysis, only use data from the top 2 soil depths (0-5cm, 5-10cm) because these are most common across studies.  Soil was sampled at 9 time points: Jan, Mar, May, Jun, Aug, Nov, May, Jul, Sept."	NA	NA	NA	No
77	77.03	"invaded comparison = disturbed, native comparison = C4 grasses"	"Canyonlands National Park, UT, USA"	grassland	arid and semi-arid grasslands	field study	"Sampled in the following vegetation types: a) C4 grasses (native), b) C3 grasses (native), c) C4 grasses invaded by Bromus (invaded), d) C3 grasses invaded by Bromus (invaded), and e) invaded/disturbed community dominated by Bromus (invaded).  3 plots per vegetation type (20x30m).  Soil sampled with a 1m core, separted into 6 sections.  For the purpose of this meta-analysis, only use data from the top 2 soil depths (0-5cm, 5-10cm) because these are most common across studies.  Soil was sampled at 9 time points: Jan, Mar, May, Jun, Aug, Nov, May, Jul, Sept."	NA	NA	NA	No
77	77.04	"invaded comparison = disturbed, native comparison = C3 grasses"	"Canyonlands National Park, UT, USA"	grassland	arid and semi-arid grasslands	field study	"Sampled in the following vegetation types: a) C4 grasses (native), b) C3 grasses (native), c) C4 grasses invaded by Bromus (invaded), d) C3 grasses invaded by Bromus (invaded), and e) invaded/disturbed community dominated by Bromus (invaded).  3 plots per vegetation type (20x30m).  Soil sampled with a 1m core, separted into 6 sections.  For the purpose of this meta-analysis, only use data from the top 2 soil depths (0-5cm, 5-10cm) because these are most common across studies.  Soil was sampled at 9 time points: Jan, Mar, May, Jun, Aug, Nov, May, Jul, Sept."	NA	NA	NA	No
80	80.01	ecosystDescript = fynbos	"Cape Province, South Africa"	shrubland	lowland fynbos or shrubland	field study	"4 plots were established in each ecosystem type: fynbos invaded and native, strandveld invaded and native. Used buried bag method for N minz with 28day incubation.  Sampled 3 soil cores per plot (10cm depth)."	NA	NA	"Many native species listed and they are listed in alpha order, so I took 1 species name from each genera, and then began at the top of the alphabet to get to 10 native species"	No
80	80.01	ecosystDescript = strandveld	"Cape Province, South Africa"	shrubland	lowland fynbos or shrubland	field study	"4 plots were established in each ecosystem type: fynbos invaded and native, strandveld invaded and native. Used buried bag method for N minz with 28day incubation.  Sampled 3 soil cores per plot (10cm depth)."	NA	NA	"Many native species listed and they are listed in alpha order, so I took 1 species name from each genera, and then began at the top of the alphabet to get to 10 native species"	No
93	93.01	"ecosystDescript = fynbos, location = Pella"	"Pella, Australia"	shrubland	coastal lowlands	field study	"Soil samples taken from under canopies and adjacent open areas of 4 individuals per native species in lightly and densely invaded areas. For the purpose of this meta-analysis, only used data from under canopies (not the adjacent open areas).  Lightly invaded was defined as <5 Acacia/ha.  Densely invaded was defined as >500 Acacia/ha. For the purposes of this meta-anlysis, native = lightly invaded and invaded = densely invaded.  Litter traps under each species (n=3)."	NA	Fully expaned and recently fallen leaves were collected from 4 individuals per species for N% in Nov	"See the following papers for further descriptions of the sites: Witkowski et al 1990, Witkowsk and Mitchell 1987"	Consider including data from area adjacent to canopy
93	93.02	"ecosystDescript = strandveld, location = Melkbosstrand"	"Melkbosstrand, Australia"	shrubland	coastal lowlands	field study	"Soil samples taken from under canopies and adjacent open areas of 4 individuals per native species in lightly and densely invaded areas. For the purpose of this meta-analysis, only used data from under canopies (not the adjacent open areas).  Lightly invaded was defined as <5 Acacia/ha.  Densely invaded was defined as >500 Acacia/ha. For the purposes of this meta-anlysis, native = lightly invaded and invaded = densely invaded.  Litter traps under each species (n=3)."	NA	Fully expaned and recently fallen leaves were collected from 4 individuals per species for N% in Nov	"See the following papers for further descriptions of the sites: Witkowski et al 1990, Witkowsk and Mitchell 1987"	Consider including data from area adjacent to canopy
137	137.01	NA	"Wildman Reserve, Australia"	savannah	savanna	field study	"5 paired blocks of invaded and native area (50m2), each plot with a canopy of Eucalyptus. Study conducted over 2 wet and dry season cycles. Soil samples were collected from 3 replicated quadrats per plot (0-5cm, 5-10cm, 20-30cm). Ion exchange resin was used for soil N availability at 5cm depth for 7-14 day incubations.  Buried bag method was used for Nminz in 3/5 plot pairs (10cm depth, 28 day incubation)."	Measured grass biomass in 3 2m2 quadrats per plot.	Leaf litter from woody plants also collected in quadrats. Litter and leaf N in 3/5 plot pairs in the first year.	NA	No
156	156.01	NA	"MA, USA"	forest	mesic hardwood forest	field study	"5 paired plots with 12 subplots each, 2 plots were riparian with full sun, 3 plots in shaded hardwood forest understory"	Harvested biomass in 3 of 5 sites at the same soil sampling subplots; Vegetation survey conducted in 6 subplots with in each site	"N reabsorption on invader, litter chemistry on invader and 4 canopy species"	NA	No
157	157.01	NA	"Cheboygan Marsh, MI, USA"	wetland	coastal wetland	field study	"Sampled long and short transects across invaded areas and compared recently invaded with uninvaded patches. Transect data is not presented in a way that is easy to extract, need to email authors. For the comparison of recently invaded and uninvaded patches, selected 7 invasive individuals and centered them around a 1m2 plot with a paired control plot 1-2m away.  Collected 3 soil cores per plot (10cm depth) and pooled them by plot."	NA	NA	NA	"Transect data is not presented in a way that is easy to extract, need to email authors."
164	164.01	NA	"Fort Lewis, WA, USA"	grassland	grassland	field study	"Established transects 9m into and out of invaded patches for 18 invaded patches. Sampled soil at 3m intervals (10cm depth) and measured invader biomass (per m2) at soil sampling locations. For the purpose of this meta-analysis, I am excluding 0m point along hte transect and aggregating points at 9, 6, and 3m inside and outside of the invasion. Lab incubation for N minz for 7 days."	NA	NA	NA	No
167	167.01	"invaded comparison = Ailanthus, native comparison = Ulmus"	Central Spain	forest	"riparian, post-agriculture forest"	field study	"Selected 4 sites per species. Pooled 2 soil cores (225mm depth) per plot, sampled 4 months.  Used cation exchange resin strips at 5cm depth for 15 days.  14-day lab incubation for N minz.  This study reported both KCl-extractable and resin-extractable inorganic N, both are recorded with a note identifying the difference"	"For the purposes of this meta-analysis, measures of caonpy openness were used to calculate species percent cover where 1-canopy openness = percent cover.  Since site were selected for each species, I assume that there is only plant species in the canopy openness measurement."	"Sencesent leaves from 12-21 individual species were collected, pooled by species, and analyzed for splitterpercN, splittercn"	NA	No
167	167.02	"invaded comparison = Robinia, native comparison = Fraxinus"	Central Spain	forest	"riparian, post-agriculture forest"	field study	"Selected 4 sites per species. Pooled 2 soil cores (225mm depth) per plot, sampled 4 months.  Used cation exchange resin strips at 5cm depth for 15 days.  14-day lab incubation for N minz.  This study reported both KCl-extractable and resin-extractable inorganic N, both are recorded with a note identifying the difference"	"For the purposes of this meta-analysis, measures of caonpy openness were used to calculate species percent cover where 1-canopy openness = percent cover.  Since site were selected for each species, I assume that there is only plant species in the canopy openness measurement."	"Sencesent leaves from 12-21 individual species were collected, pooled by species, and analyzed for splitterpercN, splittercn"	NA	No
188	188.01	NA	"Vindhyan, India"	forest	tropical dry deciduous forest	field study	"3 locations of each type: a) no invader, b) medium invasive cover, c) high invasive cover. For the purpose of this meta-analysis, native = forest caonpy (FL), and invaded = Lantana canopy, high (LL). High invasive cover was defined as >50%.  Conducted litterbag assays. 3 soil samples (10cm depth) were taken in fall at each location.  Insitu buried bag method."	Invader cover estimated at 12 sublocations with litter traps.  	Litter chemistry on dominant species	NA	May want to include intermediate invasion as a separate observation
199	199.01	location = Rocky Point	"Vancouver Island, Canada"	savannah	garry oak savannah	field study	"Invaded and native plots within 2 sites, Rocky Point (n=5) and Bamberton (n=3) (2 observations). 15 soil cores (10cm depth) were taken from each plot and pooled in Feb. Used PRS probes Jan through Jun. Error not provided for monthly inorganic N data.  Inorganic N data is not available for Bamberton site because of high calcium concentrations likely bound a significant portion of the available nutrients. Authors also conducted a greenhouse assay, but do not report the soil inorganic N data."	Evaluated species richness and abundance in 10 quadrats per plot.	NA	NA	Email authors for greenhouse soil inorganic N data and species cover data
199	199.02	location = Bamberton	"Vancouver Island, Canada"	savannah	garry oak savannah	field study	"Invaded and native plots within 2 sites, Rocky Point (n=5) and Bamberton (n=3) (2 observations). 15 soil cores (10cm depth) were taken from each plot and pooled in Feb. Used PRS probes Jan through Jun. Error not provided for monthly inorganic N data.  Inorganic N data is not available for Bamberton site because of high calcium concentrations likely bound a significant portion of the available nutrients. Authors also conducted a greenhouse assay, but do not report the soil inorganic N data."	Evaluated species richness and abundance in 10 quadrats per plot.	NA	NA	Email authors for greenhouse soil inorganic N data and species cover data
236	236.01	NA	"Yates Millpond, Raleigh, NC, USA"	wetland	forested riparian wetland	field expt removal	"6 pairs of plots were established, half were weeded of the invader. Buried bag method of soil N fluxes with 3 incubations (May, Aug, Feb) in each plot. Biomass was harvested in 2006 and 2007."	NA	Standing biomass N and C% by species and litter	NA	No
249	249.01	studyType = field study	"southern IN, USA"	forest	eastern deciduous forest	field study	"Paired plot design, 10 pairs. Pooled 3 soil cores (0-5cm, 5-10cm depth) per plot, collected March, July, Sept.  Lab incubation for N minz for 12-14days."	NA	NA	NA	Email Luke for native species list and cover data
249	249.02	studyType = field expt addition	"southern IN, USA"	forest	eastern deciduous forest	field expt addition	"Fully randomized, experimental addition of invader to 10m2 plots in 2005.  All plots planted with a mixture of 12 native grasses, sedges, forbs, allowed natural colonization too. Pooled 3 cores per plot (0-5, 5-15cm) collected in March, June, July, Sept"	NA	NA	"Many native species listed, so listed the first 10. Reference Flory et al 2010 Biological Invasions"	Email Luke for cover data
249	249.03	"studyType = greenhouse expt, invaded comparison = Mv, native comparison = Nat"	"southern IN, USA"	forest	eastern deciduous forest	greenhouse expt	"Established 3 plant communities in uninvaded soil: a) Mv (invaded), b) Mv + Nat (invaded), c) Nat (native), and d) unplanted pots (native). Natives composed of 3 functional groups: forbs, grasses, sedges. Pots received N addition treatments factorially. For the purpose of this meta-analysis, only the control N level data was used. 15 reps, randomized treatments within blocks. 5 2.5cm diam cores through pot's depth. Lab incubation for Nminz for 12-14 days. "	"Aboveground plant material harvested, sorted by species."	NA	"Forest species from soil orgin are not included in the species.xlsx table, but are a) Juglans nigra, b) Acer negundo, c) Plantanus occidentalis"	No
249	249.04	"studyType = greenhouse expt, invaded comparison = Mv + Nat, native comparison = Nat"	"southern IN, USA"	forest	eastern deciduous forest	greenhouse expt	"Established 3 plant communities in uninvaded soil: a) Mv (invaded), b) Mv + Nat (invaded), c) Nat (native), and d) unplanted pots (native). Natives composed of 3 functional groups: forbs, grasses, sedges. Pots received N addition treatments factorially. For the purpose of this meta-analysis, only the control N level data was used. 15 reps, randomized treatments within blocks. 5 2.5cm diam cores through pot's depth. Lab incubation for Nminz for 12-14 days. "	"Aboveground plant material harvested, sorted by species."	NA	"Forest species from soil orgin are not included in the species.xlsx table, but are a) Juglans nigra, b) Acer negundo, c) Plantanus occidentalis"	No
249	249.05	"studyType = greenhouse expt, invaded comparison = Mv, native comparison = unplanted"	"southern IN, USA"	forest	eastern deciduous forest	greenhouse expt	"Established 3 plant communities in uninvaded soil: a) Mv (invaded), b) Mv + Nat (invaded), c) Nat (native), and d) unplanted pots (native). Natives composed of 3 functional groups: forbs, grasses, sedges. Pots received N addition treatments factorially. For the purpose of this meta-analysis, only the control N level data was used. 15 reps, randomized treatments within blocks. 5 2.5cm diam cores through pot's depth. Lab incubation for Nminz for 12-14 days. "	"Aboveground plant material harvested, sorted by species."	NA	"Forest species from soil orgin are not included in the species.xlsx table, but are a) Juglans nigra, b) Acer negundo, c) Plantanus occidentalis"	No
249	249.06	"studyType = greenhouse expt, invaded comparison = Mv + Nat, native comparison = unplanted"	"southern IN, USA"	forest	eastern deciduous forest	greenhouse expt	"Established 3 plant communities in uninvaded soil: a) Mv (invaded), b) Mv + Nat (invaded), c) Nat (native), and d) unplanted pots (native). Natives composed of 3 functional groups: forbs, grasses, sedges. Pots received N addition treatments factorially. For the purpose of this meta-analysis, only the control N level data was used. 15 reps, randomized treatments within blocks. 5 2.5cm diam cores through pot's depth. Lab incubation for Nminz for 12-14 days. "	"Aboveground plant material harvested, sorted by species."	NA	"Forest species from soil orgin are not included in the species.xlsx table, but are a) Juglans nigra, b) Acer negundo, c) Plantanus occidentalis"	No
327	327.01	native comparison = fynbos	"Riverlands Nature Reserve, Capetown, South Africa"	shrubland	lowland fynbos or shrubland	field study	"3 treatments: a) Acacia thicket (invaded), b) fynbos (native), and c) cleared Acacia (native). 3 plots per treatment, 4 subplots per plot (3m2 centered on dominant proteoid).  Different target species in each plot.  Cleared plot removed Acacias but left behind Acacia leaf litter. Ion exchange resins were installed in the center of each subplot for 30 days; soil samples (7 cm dpeth) were taken in same location.  Before analysis, subplot soil samples were averaged by plot."	NA	NA	NA	No
327	327.02	native comparison = cleared Acacia	"Riverlands Nature Reserve, Capetown, South Africa"	shrubland	lowland fynbos or shrubland	field study	"3 treatments: a) Acacia thicket (invaded), b) fynbos (native), and c) cleared Acacia (native). 3 plots per treatment, 4 subplots per plot (3m2 centered on dominant proteoid).  Different target species in each plot.  Cleared plot removed Acacias but left behind Acacia leaf litter. Ion exchange resins were installed in the center of each subplot for 30 days; soil samples (7 cm dpeth) were taken in same location.  Before analysis, subplot soil samples were averaged by plot."	NA	NA	No native species listed because the Acacia was cleared and there was no remaining vegetation	No
551	551.01	NA	"Larimer Co. Parks, CO, USA"	grassland	semi-arid ponderosa pine grassland	field study	"4 sites each with a paired native and invaded area, 6 plots per area. 2 plots were harvested in June, July, August for vegetation.  One of the 2 plots harvested at each time point was given a water treatment.  Collected 4 soil samples per plot per day for 3 days, 3 times throughout the growing season. Invasive species was active in June whereas natives were active in June and July.  For the purpose of this meta-analysis, using the no water addition plots, native = PG and invaded = BT, taking the average of ACTIVE and INACTIVE."	NA	NA	NA	No
705	705.01	NA	"MD, USA"	forest	deciduous hardwood forest	field study	"Paired plots, sampled 6 sites 1 time in summer"	"Paired plots, sampled 6 sites 3 times during the growing season"	NA	NA	No
706	706.01	NA	Zhejiang Province in east China	grassland	reminant grassland areas	field study	"Paired plots, Sampled exotic, native, and intermediate invader densities at 5 sites. 5 plots per site that were pooled for soil analysis."	"Exot = Solidago monoculture, Nat = no Solidago"	NA	"Many native species listed, so listed the first 2 dominant species from each site"	May want to include intermediate invasion as a separate observation
707	707.01	NA	"Pinheiro daCruz, Portugal"	dune	dune ecosystem	field study	Plots were 9m2 that were exterior and interior to the invader. Each sample was a composite of 3 cores from different plots	NA	Established a separate plot to evaluate leaf and litter N	"Many species were listed in text, but the percent cover of only 2 native species were measured, so that is the data included in this meta-analysis"	No
708	708.01	native comparison = Agropyron	"Central Plains Experimental Range, CO, USA"	grassland	shortgrass steppe	field study	"Sampled plants and soil from a fertilization and irrigation experiment that was conducted in the 1970s; there were 4 treatments and 2 replicate plots per treatment.  For the purposes of this meta-analysis, I will only use the NW treatment because this is the only treatment where the invasive species occurs.  Sampled soils under and between plant species (10cm depth) for 4 plants per species per plot. For the purpose of this meta-analysis, I only used ""under"" not ""between"" samples. 30-day lab incubation for Nminz."	"Plant biomass and cover was estimated at the plot scale (although the soil samples were taken under and between invidual plants).  For the purpose of this meta-analysis, these measurements are not reported because they do not fit with the scale at which soils were sampled."	Aboveground plant tissue %C and %N measures on each plant species using individuals from 6 quadrats x 2 plots.	NA	No
708	708.02	native comparison = Stipa	"Central Plains Experimental Range, CO, USA"	grassland	shortgrass steppe	field study	"Sampled plants and soil from a fertilization and irrigation experiment that was conducted in the 1970s; there were 4 treatments and 2 replicate plots per treatment.  For the purposes of this meta-analysis, I will only use the NW treatment because this is the only treatment where the invasive species occurs.  Sampled soils udner and between plant species (10cm depth) for 4 plants per species per plot. For the purpose of this meta-analysis, I only used ""under"" not ""between"" samples. 30-day lab incubation for Nminz."	"Plant biomass and cover was estimated at the plot scale (although the soil samples were taken under and between invidual plants).  For the purpose of this meta-analysis, these measurements are not reported because they do not fit with the scale at which soils were sampled."	Aboveground plant tissue %C and %N measures on each plant species using individuals from 6 quadrats x 2 plots.	NA	No
708	708.03	native comparison = Bouteloua	"Central Plains Experimental Range, CO, USA"	grassland	shortgrass steppe	field study	"Sampled plants and soil from a fertilization and irrigation experiment that was conducted in the 1970s; there were 4 treatments and 2 replicate plots per treatment.  For the purposes of this meta-analysis, I will only use the NW treatment because this is the only treatment where the invasive species occurs.  Sampled soils udner and between plant species (10cm depth) for 4 plants per species per plot. For the purpose of this meta-analysis, I only used ""under"" not ""between"" samples. 30-day lab incubation for Nminz."	"Plant biomass and cover was estimated at the plot scale (although the soil samples were taken under and between invidual plants).  For the purpose of this meta-analysis, these measurements are not reported because they do not fit with the scale at which soils were sampled."	Aboveground plant tissue %C and %N measures on each plant species using individuals from 6 quadrats x 2 plots.	NA	No
708	708.04	native comparison = Aristida	"Central Plains Experimental Range, CO, USA"	grassland	shortgrass steppe	field study	"Sampled plants and soil from a fertilization and irrigation experiment that was conducted in the 1970s; there were 4 treatments and 2 replicate plots per treatment.  For the purposes of this meta-analysis, I will only use the NW treatment because this is the only treatment where the invasive species occurs.  Sampled soils udner and between plant species (10cm depth) for 4 plants per species per plot. For the purpose of this meta-analysis, I only used ""under"" not ""between"" samples. 30-day lab incubation for Nminz."	"Plant biomass and cover was estimated at the plot scale (although the soil samples were taken under and between invidual plants).  For the purpose of this meta-analysis, these measurements are not reported because they do not fit with the scale at which soils were sampled."	Aboveground plant tissue %C and %N measures on each plant species using individuals from 6 quadrats x 2 plots.	NA	No
708	708.05	native comparison = Artemisia	"Central Plains Experimental Range, CO, USA"	grassland	shortgrass steppe	field study	"Sampled plants and soil from a fertilization and irrigation experiment that was conducted in the 1970s; there were 4 treatments and 2 replicate plots per treatment.  For the purposes of this meta-analysis, I will only use the NW treatment because this is the only treatment where the invasive species occurs.  Sampled soils udner and between plant species (10cm depth) for 4 plants per species per plot. For the purpose of this meta-analysis, I only used ""under"" not ""between"" samples. 30-day lab incubation for Nminz."	"Plant biomass and cover was estimated at the plot scale (although the soil samples were taken under and between invidual plants).  For the purpose of this meta-analysis, these measurements are not reported because they do not fit with the scale at which soils were sampled."	Aboveground plant tissue %C and %N measures on each plant species using individuals from 6 quadrats x 2 plots.	NA	No
708	708.06	native comparison = Carex	"Central Plains Experimental Range, CO, USA"	grassland	shortgrass steppe	field study	"Sampled plants and soil from a fertilization and irrigation experiment that was conducted in the 1970s; there were 4 treatments and 2 replicate plots per treatment.  For the purposes of this meta-analysis, I will only use the NW treatment because this is the only treatment where the invasive species occurs.  Sampled soils udner and between plant species (10cm depth) for 4 plants per species per plot. For the purpose of this meta-analysis, I only used ""under"" not ""between"" samples. 30-day lab incubation for Nminz."	"Plant biomass and cover was estimated at the plot scale (although the soil samples were taken under and between invidual plants).  For the purpose of this meta-analysis, these measurements are not reported because they do not fit with the scale at which soils were sampled."	Aboveground plant tissue %C and %N measures on each plant species using individuals from 6 quadrats x 2 plots.	NA	No
712	712.01	NA	"Great Lakes, MI, USA"	wetland	coastal wetland	field expt addition	"Transplant expt of invasive plant and litter in factorial design in uninvaded marsh (n=10).  All initial plots were clipped before use. Each plot sampled in June and August. Insitu buried bag incubation for nminz. All the significant treatment effects were brought about by the invader litter and not the live plant. For the purpose of this meta-analysis, native = no live, no litter and invaded = live and litter."	NA	NA	"Species listed as ""common"".  Other species were listed, but with no indication of abundance"	No
713	713.01	"studyType = greenhouse expt, native comparison = unseeded soil"	"Sewanee, TN, USA"	forest	eastern deciduous forest	greenhouse expt	"Used sterilzed sand and gravel, mixed with minearl soil from uninvaded oak-hickory forests. Compared invader to unseeded soil.  Sampled at time=0, 6 months, 12 months.  Only included data for the last time point."	"Native species listed are the species that were present in the field where the soil was collected.  They were not grown in the greenhouse, so there is no species cover data for these species."	NA	"Native species are listed that cultured the soil, but were not present during the study"	May want to include data from time = 6 months time point too?
713	713.02	"studyType = field study, ecosystDescript = mature oak-hickory"	"Sewanee, TN, USA"	forest	mature oak-hickory	field study	Paired plot design. Invaded plot defined as >90% Microstegium. Sample was composed of 10 pooled cores from 0-5cm depth	NA	NA	"Species list was not differentiated for the sites: mature (713.02), early successional (713.03), pine plantation (713.04)"	No
713	713.03	"studyType = field study, ecosystDescript = early successional oak-hickory"	"Sewanee, TN, USA"	forest	early successional oak-hickory	field study	Paired plot design. Invaded plot defined as >90% Microstegium. Sample was composed of 10 pooled cores from 0-5cm depth	NA	NA	"Species list was not differentiated for the sites: mature (713.02), early successional (713.03), pine plantation (713.04)"	No
713	713.04	"studyType = field study, ecosystDescript = pine plantation"	"Sewanee, TN, USA"	forest	pine plantation	field study	Paired plot design. Invaded plot defined as >90% Microstegium. Sample was composed of 10 pooled cores from 0-5cm depth	NA	NA	"Species list was not differentiated for the sites: mature (713.02), early successional (713.03), pine plantation (713.04)"	No
715	715.01	NA	"Sao Jacinto Dunes, Portugal"	dune	coastal sand dune	field study	"Compared longterm invaded (LI), recently invaded (RI) , and non-invaded (NI) sites.  All randomly distributed.  3 soil samples were pooled by plot, collected in the spring for 3 years (10cm depth). Lab nitrification potential assay. 3 litter samples per plot.  For the purpose of this meta-analysis, native = NI and invaded = RI."	NA	NA	No native species listed in text	May want to include longterm invasion as a separate observation
716	716.01	NA	northern and western Switzerland	grassland	"grasslands, wetlands, old fields"	field study	"Pooled 5 cores (15cm depth) per plot.  Same plots were used for the biomass harvest and ion exchange resins. In total, there were 14 sites and 3 plots of invaded and native per site."	NA	Sampled 10-20 leaves from invader and 2-3 dominant native species at each site	"Many native species listed, so listed the first species listed from each site (15 sites in total)"	No
